循环号,充电容量(Ah),放电容量(Ah),文件名
123,2.9741,2.9717,240081-2-7-53.xlsx
124,2.9702,2.9672,240081-2-7-53.xlsx
125,2.9648,2.9613,240081-2-7-53.xlsx
126,2.9589,2.9558,240081-2-7-53.xlsx
127,2.955,2.9519,240081-2-7-53.xlsx
128,2.9564,2.9534,240081-2-7-53.xlsx
129,2.9511,2.9486,240081-2-7-53.xlsx
130,2.9447,2.9412,240081-2-7-53.xlsx
131,2.9407,2.9382,240081-2-7-53.xlsx
132,2.9376,2.9344,240081-2-7-53.xlsx
133,2.9334,2.9314,240081-2-7-53.xlsx
134,2.9347,2.9326,240081-2-7-53.xlsx
135,2.93,2.9268,240081-2-7-53.xlsx
136,2.9266,2.9229,240081-2-7-53.xlsx
137,2.9208,2.9179,240081-2-7-53.xlsx
138,2.9201,2.9185,240081-2-7-53.xlsx
139,2.9203,2.9172,240081-2-7-53.xlsx
140,2.9165,2.9143,240081-2-7-53.xlsx
141,2.9119,2.9089,240081-2-7-53.xlsx
142,2.906,2.9029,240081-2-7-53.xlsx
143,2.906,2.9037,240081-2-7-53.xlsx
144,2.904,2.9036,240081-2-7-53.xlsx
145,2.9054,2.9012,240081-2-7-53.xlsx
146,2.895,2.8919,240081-2-7-53.xlsx
147,2.8907,2.888,240081-2-7-53.xlsx
148,2.8892,2.8875,240081-2-7-53.xlsx
149,2.8965,2.8969,240081-2-7-53.xlsx
150,2.8955,2.8942,240081-2-7-53.xlsx
151,2.8904,2.8868,240081-2-7-53.xlsx
152,2.8844,2.8816,240081-2-7-53.xlsx
153,2.8797,2.878,240081-2-7-53.xlsx
154,2.8864,2.8883,240081-2-7-53.xlsx
155,2.8891,2.8862,240081-2-7-53.xlsx
156,2.8811,2.8782,240081-2-7-53.xlsx
157,2.8687,2.8653,240081-2-7-53.xlsx
158,2.8655,2.8623,240081-2-7-53.xlsx
159,2.8607,2.86,240081-2-7-53.xlsx
160,2.8668,2.8651,240081-2-7-53.xlsx
161,2.8611,2.8586,240081-2-7-53.xlsx
162,2.8555,2.851,240081-2-7-53.xlsx
163,2.844,2.8412,240081-2-7-53.xlsx
164,2.8383,2.8361,240081-2-7-53.xlsx
165,2.8376,2.8352,240081-2-7-53.xlsx
166,2.842,2.8414,240081-2-7-53.xlsx
167,2.8329,2.8293,240081-2-7-53.xlsx
168,2.8268,2.8243,240081-2-7-53.xlsx
169,2.824,2.8214,240081-2-7-53.xlsx
170,2.8202,2.8186,240081-2-7-53.xlsx
171,2.8221,2.821,240081-2-7-53.xlsx
172,2.8168,2.8128,240081-2-7-53.xlsx
173,2.8073,2.804,240081-2-7-53.xlsx
174,2.8028,2.8006,240081-2-7-53.xlsx
175,2.8024,2.8013,240081-2-7-53.xlsx
176,2.8085,2.8084,240081-2-7-53.xlsx
177,2.8095,2.807,240081-2-7-53.xlsx
178,2.8023,2.7991,240081-2-7-53.xlsx
179,2.7957,2.7933,240081-2-7-53.xlsx
180,2.7972,2.7972,240081-2-7-53.xlsx
181,2.8048,2.8047,240081-2-7-53.xlsx
182,2.8018,2.7992,240081-2-7-53.xlsx
183,2.7938,2.7899,240081-2-7-53.xlsx
184,2.7865,2.7837,240081-2-7-53.xlsx
185,2.7814,2.7805,240081-2-7-53.xlsx
186,2.7912,2.7942,240081-2-7-53.xlsx
187,2.7951,2.7901,240081-2-7-53.xlsx
188,2.7849,2.7834,240081-2-7-53.xlsx
189,2.7816,2.7785,240081-2-7-53.xlsx
190,2.7767,2.7758,240081-2-7-53.xlsx
191,2.7844,2.7858,240081-2-7-53.xlsx
192,2.7973,2.798,240081-2-7-53.xlsx
193,2.7819,2.778,240081-2-7-53.xlsx
194,2.775,2.7713,240081-2-7-53.xlsx
195,2.7681,2.766,240081-2-7-53.xlsx
196,2.7683,2.7685,240081-2-7-53.xlsx
197,2.7755,2.7757,240081-2-7-53.xlsx
198,2.776,2.773,240081-2-7-53.xlsx
199,2.7612,2.7571,240081-2-7-53.xlsx
200,2.7506,2.7471,240081-2-7-53.xlsx
201,2.7504,2.7508,240081-2-7-53.xlsx
202,2.7631,2.7649,240081-2-7-53.xlsx
203,2.767,2.7635,240081-2-7-53.xlsx
204,2.7483,2.7435,240081-2-7-53.xlsx
205,2.7385,2.736,240081-2-7-53.xlsx
206,2.7345,2.734,240081-2-7-53.xlsx
207,2.7466,2.7486,240081-2-7-53.xlsx
208,2.7533,2.754,240081-2-7-53.xlsx
209,2.7407,2.7324,240081-2-7-53.xlsx
210,2.7271,2.7255,240081-2-7-53.xlsx
211,2.725,2.7239,240081-2-7-53.xlsx
212,2.7328,2.7348,240081-2-7-53.xlsx
213,2.7394,2.7381,240081-2-7-53.xlsx
214,2.7365,2.7326,240081-2-7-53.xlsx
215,2.7175,2.7138,240081-2-7-53.xlsx
216,2.7129,2.711,240081-2-7-53.xlsx
217,2.718,2.7214,240081-2-7-53.xlsx
218,2.7359,2.737,240081-2-7-53.xlsx
219,2.7331,2.7289,240081-2-7-53.xlsx
220,2.7086,2.7045,240081-2-7-53.xlsx
221,2.7077,2.7056,240081-2-7-53.xlsx
222,2.7075,2.7072,240081-2-7-53.xlsx
223,2.7185,2.7185,240081-2-7-53.xlsx
224,2.7107,2.7079,240081-2-7-53.xlsx
225,2.6972,2.6933,240081-2-7-53.xlsx
226,2.6932,2.6907,240081-2-7-53.xlsx
227,2.6903,2.69,240081-2-7-53.xlsx
228,2.6956,2.6959,240081-2-7-53.xlsx
229,2.6951,2.6912,240081-2-7-53.xlsx
230,2.6828,2.679,240081-2-7-53.xlsx
231,2.6779,2.6759,240081-2-7-53.xlsx
232,2.6733,2.6713,240081-2-7-53.xlsx
233,2.6708,2.6691,240081-2-7-53.xlsx
234,2.6699,2.668,240081-2-7-53.xlsx
235,2.664,2.6607,240081-2-7-53.xlsx
236,2.659,2.6562,240081-2-7-53.xlsx
237,2.6541,2.6518,240081-2-7-53.xlsx
238,2.6546,2.6547,240081-2-7-53.xlsx
239,2.656,2.6526,240081-2-7-53.xlsx
240,2.6439,2.6402,240081-2-7-53.xlsx
241,2.643,2.642,240081-2-7-53.xlsx
242,2.6403,2.6383,240081-2-7-53.xlsx
243,2.6433,2.6426,240081-2-7-53.xlsx
244,2.6451,2.6427,240081-2-7-53.xlsx
245,2.6422,2.6413,240081-2-7-53.xlsx
246,2.6381,2.6353,240081-2-7-53.xlsx
247,2.6327,2.6303,240081-2-7-53.xlsx
248,2.6382,2.6397,240081-2-7-53.xlsx
249,2.6482,2.651,240081-2-7-53.xlsx
250,2.6466,2.6423,240081-2-7-53.xlsx
251,2.6389,2.6364,240081-2-7-53.xlsx
252,2.6341,2.6318,240081-2-7-53.xlsx
253,2.6338,2.6341,240081-2-7-53.xlsx
254,2.63,2.6271,240081-2-7-53.xlsx
255,2.6292,2.6257,240081-2-7-53.xlsx
256,2.6204,2.6186,240081-2-7-53.xlsx
257,2.6182,2.6167,240081-2-7-53.xlsx
258,2.6211,2.6239,240081-2-7-53.xlsx
259,2.6309,2.6287,240081-2-7-53.xlsx
260,2.6197,2.6153,240081-2-7-53.xlsx
261,2.6097,2.606,240081-2-7-53.xlsx
