循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6667,3.4667,240081-2-5-48.xlsx
2,3.4791,3.4544,240081-2-5-48.xlsx
3,3.4556,3.4348,240081-2-5-48.xlsx
4,3.4345,3.4161,240081-2-5-48.xlsx
5,3.4227,3.4146,240081-2-5-48.xlsx
6,3.4198,3.4087,240081-2-5-48.xlsx
7,3.4096,3.4,240081-2-5-48.xlsx
8,3.4008,3.3913,240081-2-5-48.xlsx
9,3.3912,3.3825,240081-2-5-48.xlsx
10,3.3834,3.377,240081-2-5-48.xlsx
11,3.3743,3.3647,240081-2-5-48.xlsx
12,3.3696,3.3675,240081-2-5-48.xlsx
13,3.3671,3.3605,240081-2-5-48.xlsx
14,3.3601,3.354,240081-2-5-48.xlsx
15,3.3533,3.3479,240081-2-5-48.xlsx
16,3.3477,3.3429,240081-2-5-48.xlsx
17,3.3442,3.3404,240081-2-5-48.xlsx
18,3.3431,3.3402,240081-2-5-48.xlsx
19,3.3396,3.3342,240081-2-5-48.xlsx
20,3.3326,3.3277,240081-2-5-48.xlsx
21,3.3267,3.3224,240081-2-5-48.xlsx
22,3.3216,3.3177,240081-2-5-48.xlsx
23,3.3177,3.3149,240081-2-5-48.xlsx
24,3.3152,3.3121,240081-2-5-48.xlsx
25,3.3128,3.3096,240081-2-5-48.xlsx
26,3.3077,3.3035,240081-2-5-48.xlsx
27,3.3017,3.298,240081-2-5-48.xlsx
28,3.2967,3.2934,240081-2-5-48.xlsx
29,3.2919,3.2887,240081-2-5-48.xlsx
30,3.288,3.2852,240081-2-5-48.xlsx
31,3.2797,3.277,240081-2-5-48.xlsx
32,3.2806,3.2739,240081-2-5-48.xlsx
33,3.2617,3.2585,240081-2-5-48.xlsx
34,3.2578,3.2556,240081-2-5-48.xlsx
35,3.2557,3.2528,240081-2-5-48.xlsx
36,3.2517,3.2492,240081-2-5-48.xlsx
37,3.2486,3.246,240081-2-5-48.xlsx
38,3.2453,3.2425,240081-2-5-48.xlsx
39,3.246,3.2466,240081-2-5-48.xlsx
40,3.2516,3.2492,240081-2-5-48.xlsx
41,3.2488,3.2466,240081-2-5-48.xlsx
42,3.246,3.2443,240081-2-5-48.xlsx
43,3.2478,3.2468,240081-2-5-48.xlsx
44,3.2479,3.2458,240081-2-5-48.xlsx
45,3.2435,3.2406,240081-2-5-48.xlsx
46,3.2384,3.2359,240081-2-5-48.xlsx
47,3.2344,3.2321,240081-2-5-48.xlsx
48,3.2309,3.2286,240081-2-5-48.xlsx
49,3.2194,3.214,240081-2-5-48.xlsx
50,3.2104,3.2079,240081-2-5-48.xlsx
51,3.2193,3.2214,240081-2-5-48.xlsx
52,3.2218,3.2199,240081-2-5-48.xlsx
53,3.2188,3.2167,240081-2-5-48.xlsx
54,3.2151,3.2131,240081-2-5-48.xlsx
55,3.2124,3.211,240081-2-5-48.xlsx
56,3.2115,3.2049,240081-2-5-48.xlsx
57,3.1947,3.1937,240081-2-5-48.xlsx
58,3.1941,3.1924,240081-2-5-48.xlsx
59,3.1915,3.1898,240081-2-5-48.xlsx
60,3.1894,3.1875,240081-2-5-48.xlsx
61,3.1857,3.1867,240081-2-5-48.xlsx
62,3.1996,3.2012,240081-2-5-48.xlsx
63,3.1947,3.1904,240081-2-5-48.xlsx
64,3.1847,3.1809,240081-2-5-48.xlsx
65,3.1776,3.1745,240081-2-5-48.xlsx
66,3.1706,3.1678,240081-2-5-48.xlsx
67,3.1703,3.1695,240081-2-5-48.xlsx
68,3.1719,3.1717,240081-2-5-48.xlsx
69,3.1725,3.1711,240081-2-5-48.xlsx
70,3.1671,3.164,240081-2-5-48.xlsx
71,3.1617,3.1595,240081-2-5-48.xlsx
72,3.1576,3.1553,240081-2-5-48.xlsx
73,3.1561,3.1559,240081-2-5-48.xlsx
74,3.1614,3.1636,240081-2-5-48.xlsx
75,3.17,3.1696,240081-2-5-48.xlsx
76,3.1474,3.1375,240081-2-5-48.xlsx
77,3.1325,3.1286,240081-2-5-48.xlsx
78,3.1267,3.1255,240081-2-5-48.xlsx
79,3.1253,3.1227,240081-2-5-48.xlsx
80,3.1239,3.122,240081-2-5-48.xlsx
81,3.1213,3.1187,240081-2-5-48.xlsx
82,3.1161,3.1133,240081-2-5-48.xlsx
83,3.1097,3.1067,240081-2-5-48.xlsx
