循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.653,3.4512,240081-2-2-48.xlsx
2,3.4598,3.4319,240081-2-2-48.xlsx
3,3.4365,3.4165,240081-2-2-48.xlsx
4,3.4179,3.395,240081-2-2-48.xlsx
5,3.3976,3.3913,240081-2-2-48.xlsx
6,3.3965,3.3894,240081-2-2-48.xlsx
7,3.3898,3.3794,240081-2-2-48.xlsx
8,3.3797,3.3717,240081-2-2-48.xlsx
9,3.3714,3.3636,240081-2-2-48.xlsx
10,3.3633,3.3568,240081-2-2-48.xlsx
11,3.359,3.3507,240081-2-2-48.xlsx
12,3.3494,3.3485,240081-2-2-48.xlsx
13,3.3502,3.3437,240081-2-2-48.xlsx
14,3.3428,3.3375,240081-2-2-48.xlsx
15,3.3366,3.331,240081-2-2-48.xlsx
16,3.3303,3.3255,240081-2-2-48.xlsx
17,3.3257,3.3217,240081-2-2-48.xlsx
18,3.3237,3.3216,240081-2-2-48.xlsx
19,3.3247,3.3215,240081-2-2-48.xlsx
20,3.3199,3.3142,240081-2-2-48.xlsx
21,3.3124,3.3078,240081-2-2-48.xlsx
22,3.3067,3.3023,240081-2-2-48.xlsx
23,3.3011,3.2973,240081-2-2-48.xlsx
24,3.2978,3.2956,240081-2-2-48.xlsx
25,3.2959,3.2931,240081-2-2-48.xlsx
26,3.294,3.2908,240081-2-2-48.xlsx
27,3.2884,3.2845,240081-2-2-48.xlsx
28,3.2818,3.2787,240081-2-2-48.xlsx
29,3.2773,3.2741,240081-2-2-48.xlsx
30,3.2723,3.2696,240081-2-2-48.xlsx
31,3.2682,3.2658,240081-2-2-48.xlsx
32,3.2654,3.2624,240081-2-2-48.xlsx
33,3.2611,3.2543,240081-2-2-48.xlsx
34,3.2407,3.237,240081-2-2-48.xlsx
35,3.2359,3.2331,240081-2-2-48.xlsx
36,3.2324,3.2295,240081-2-2-48.xlsx
37,3.2289,3.2259,240081-2-2-48.xlsx
38,3.2249,3.2217,240081-2-2-48.xlsx
39,3.2215,3.2185,240081-2-2-48.xlsx
40,3.2177,3.2189,240081-2-2-48.xlsx
41,3.2285,3.2271,240081-2-2-48.xlsx
42,3.2266,3.2243,240081-2-2-48.xlsx
43,3.2238,3.222,240081-2-2-48.xlsx
44,3.2258,3.2256,240081-2-2-48.xlsx
45,3.2279,3.2258,240081-2-2-48.xlsx
46,3.2233,3.2202,240081-2-2-48.xlsx
47,3.2177,3.2149,240081-2-2-48.xlsx
48,3.2131,3.2104,240081-2-2-48.xlsx
49,3.2089,3.2065,240081-2-2-48.xlsx
50,3.2045,3.1967,240081-2-2-48.xlsx
51,3.1822,3.1785,240081-2-2-48.xlsx
52,3.1916,3.196,240081-2-2-48.xlsx
53,3.1989,3.1973,240081-2-2-48.xlsx
54,3.1959,3.1935,240081-2-2-48.xlsx
55,3.1919,3.1898,240081-2-2-48.xlsx
56,3.1892,3.1875,240081-2-2-48.xlsx
57,3.1926,3.1851,240081-2-2-48.xlsx
58,3.1666,3.1635,240081-2-2-48.xlsx
59,3.1651,3.1634,240081-2-2-48.xlsx
60,3.1622,3.1612,240081-2-2-48.xlsx
61,3.1611,3.1583,240081-2-2-48.xlsx
62,3.1566,3.1582,240081-2-2-48.xlsx
63,3.1754,3.1781,240081-2-2-48.xlsx
64,3.1704,3.1656,240081-2-2-48.xlsx
65,3.1594,3.1547,240081-2-2-48.xlsx
66,3.1505,3.1467,240081-2-2-48.xlsx
67,3.1423,3.1388,240081-2-2-48.xlsx
68,3.1412,3.1407,240081-2-2-48.xlsx
69,3.1447,3.1449,240081-2-2-48.xlsx
70,3.1466,3.1448,240081-2-2-48.xlsx
71,3.1392,3.1352,240081-2-2-48.xlsx
72,3.132,3.1289,240081-2-2-48.xlsx
73,3.1266,3.1238,240081-2-2-48.xlsx
74,3.1247,3.1246,240081-2-2-48.xlsx
75,3.1338,3.1372,240081-2-2-48.xlsx
76,3.1433,3.1428,240081-2-2-48.xlsx
77,3.1135,3.1012,240081-2-2-48.xlsx
78,3.097,3.0912,240081-2-2-48.xlsx
79,3.0922,3.0885,240081-2-2-48.xlsx
80,3.087,3.0846,240081-2-2-48.xlsx
81,3.0852,3.0826,240081-2-2-48.xlsx
82,3.0805,3.0776,240081-2-2-48.xlsx
83,3.0767,3.0732,240081-2-2-48.xlsx
84,3.0698,3.0667,240081-2-2-48.xlsx
85,3.0647,3.0617,240081-2-2-48.xlsx
86,3.0649,3.0628,240081-2-2-48.xlsx
87,3.0617,3.0592,240081-2-2-48.xlsx
88,3.0586,3.0557,240081-2-2-48.xlsx
89,3.0531,3.0492,240081-2-2-48.xlsx
90,3.0488,3.0452,240081-2-2-48.xlsx
91,3.0426,3.0396,240081-2-2-48.xlsx
92,3.0419,3.0397,240081-2-2-48.xlsx
93,3.0443,3.0435,240081-2-2-48.xlsx
94,3.0417,3.0386,240081-2-2-48.xlsx
95,3.0348,3.0311,240081-2-2-48.xlsx
96,3.0286,3.0253,240081-2-2-48.xlsx
97,3.0295,3.0288,240081-2-2-48.xlsx
98,3.0357,3.0354,240081-2-2-48.xlsx
99,3.0326,3.027,240081-2-2-48.xlsx
100,3.0191,3.0159,240081-2-2-48.xlsx
101,3.0125,3.0094,240081-2-2-48.xlsx
102,3.0077,3.0045,240081-2-2-48.xlsx
103,3.007,3.0049,240081-2-2-48.xlsx
104,3.006,3.0032,240081-2-2-48.xlsx
105,3.0013,2.9974,240081-2-2-48.xlsx
106,2.9945,2.9915,240081-2-2-48.xlsx
107,2.9895,2.9863,240081-2-2-48.xlsx
108,2.9857,2.9829,240081-2-2-48.xlsx
109,2.9835,2.9802,240081-2-2-48.xlsx
110,2.9778,2.9746,240081-2-2-48.xlsx
111,2.9745,2.9719,240081-2-2-48.xlsx
112,2.9718,2.969,240081-2-2-48.xlsx
113,2.9694,2.9673,240081-2-2-48.xlsx
114,2.9664,2.9631,240081-2-2-48.xlsx
115,2.9633,2.961,240081-2-2-48.xlsx
116,2.9599,2.9565,240081-2-2-48.xlsx
117,2.9539,2.9511,240081-2-2-48.xlsx
118,2.9507,2.948,240081-2-2-48.xlsx
119,2.9475,2.945,240081-2-2-48.xlsx
120,2.947,2.9449,240081-2-2-48.xlsx
121,2.9434,2.9399,240081-2-2-48.xlsx
122,2.9376,2.9348,240081-2-2-48.xlsx
123,2.9348,2.9327,240081-2-2-48.xlsx
124,2.9339,2.9313,240081-2-2-48.xlsx
125,2.9304,2.9274,240081-2-2-48.xlsx
126,2.9277,2.9256,240081-2-2-48.xlsx
127,2.9238,2.9207,240081-2-2-48.xlsx
128,2.9204,2.9177,240081-2-2-48.xlsx
129,2.9158,2.9132,240081-2-2-48.xlsx
130,2.9121,2.91,240081-2-2-48.xlsx
131,2.9136,2.9121,240081-2-2-48.xlsx
132,2.9136,2.9114,240081-2-2-48.xlsx
133,2.9076,2.9044,240081-2-2-48.xlsx
134,2.9014,2.8993,240081-2-2-48.xlsx
135,2.9015,2.8983,240081-2-2-48.xlsx
136,2.8964,2.8953,240081-2-2-48.xlsx
137,2.8986,2.8961,240081-2-2-48.xlsx
138,2.894,2.8911,240081-2-2-48.xlsx
139,2.8881,2.8848,240081-2-2-48.xlsx
140,2.8844,2.8837,240081-2-2-48.xlsx
141,2.8814,2.8794,240081-2-2-48.xlsx
142,2.8786,2.8761,240081-2-2-48.xlsx
143,2.8806,2.8794,240081-2-2-48.xlsx
144,2.8763,2.8734,240081-2-2-48.xlsx
145,2.8702,2.8672,240081-2-2-48.xlsx
146,2.8688,2.8662,240081-2-2-48.xlsx
147,2.8663,2.8654,240081-2-2-48.xlsx
148,2.8809,2.8816,240081-2-2-48.xlsx
149,2.8792,2.8777,240081-2-2-48.xlsx
150,2.8775,2.8756,240081-2-2-48.xlsx
151,2.8723,2.8698,240081-2-2-48.xlsx
152,2.8697,2.8687,240081-2-2-48.xlsx
153,2.8755,2.8731,240081-2-2-48.xlsx
154,2.8762,2.8761,240081-2-2-48.xlsx
155,2.8646,2.8625,240081-2-2-48.xlsx
156,2.8616,2.8585,240081-2-2-48.xlsx
157,2.8575,2.8554,240081-2-2-48.xlsx
158,2.8573,2.8569,240081-2-2-48.xlsx
159,2.87,2.8707,240081-2-2-48.xlsx
160,2.8682,2.8677,240081-2-2-48.xlsx
161,2.8632,2.8603,240081-2-2-48.xlsx
162,2.8569,2.8541,240081-2-2-48.xlsx
163,2.8523,2.8503,240081-2-2-48.xlsx
164,2.8569,2.8583,240081-2-2-48.xlsx
165,2.8683,2.8664,240081-2-2-48.xlsx
166,2.8546,2.8522,240081-2-2-48.xlsx
167,2.845,2.8406,240081-2-2-48.xlsx
168,2.8387,2.8369,240081-2-2-48.xlsx
169,2.8326,2.8301,240081-2-2-48.xlsx
170,2.8392,2.8409,240081-2-2-48.xlsx
171,2.8398,2.8377,240081-2-2-48.xlsx
172,2.833,2.8303,240081-2-2-48.xlsx
173,2.8239,2.821,240081-2-2-48.xlsx
174,2.8142,2.8111,240081-2-2-48.xlsx
175,2.8099,2.8083,240081-2-2-48.xlsx
176,2.8102,2.8081,240081-2-2-48.xlsx
177,2.815,2.8151,240081-2-2-48.xlsx
