循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6579,3.4582,240081-1-2-48.xlsx
2,3.4662,3.4407,240081-1-2-48.xlsx
3,3.4455,3.427,240081-1-2-48.xlsx
4,3.4296,3.4149,240081-1-2-48.xlsx
5,3.4208,3.3976,240081-1-2-48.xlsx
6,3.3895,3.3773,240081-1-2-48.xlsx
7,3.3784,3.37,240081-1-2-48.xlsx
8,3.3706,3.3632,240081-1-2-48.xlsx
9,3.364,3.3561,240081-1-2-48.xlsx
10,3.3566,3.3499,240081-1-2-48.xlsx
11,3.3502,3.3443,240081-1-2-48.xlsx
12,3.3445,3.3384,240081-1-2-48.xlsx
13,3.3382,3.3333,240081-1-2-48.xlsx
14,3.3337,3.329,240081-1-2-48.xlsx
15,3.3291,3.3244,240081-1-2-48.xlsx
16,3.3243,3.3197,240081-1-2-48.xlsx
17,3.3199,3.3155,240081-1-2-48.xlsx
18,3.315,3.3111,240081-1-2-48.xlsx
19,3.3109,3.3068,240081-1-2-48.xlsx
20,3.3066,3.3031,240081-1-2-48.xlsx
21,3.303,3.2993,240081-1-2-48.xlsx
22,3.299,3.2949,240081-1-2-48.xlsx
23,3.2947,3.291,240081-1-2-48.xlsx
24,3.2906,3.2872,240081-1-2-48.xlsx
25,3.2867,3.2835,240081-1-2-48.xlsx
26,3.283,3.2802,240081-1-2-48.xlsx
27,3.2796,3.2768,240081-1-2-48.xlsx
28,3.2766,3.2732,240081-1-2-48.xlsx
29,3.2725,3.2689,240081-1-2-48.xlsx
30,3.2684,3.2661,240081-1-2-48.xlsx
31,3.2656,3.2626,240081-1-2-48.xlsx
32,3.2622,3.2596,240081-1-2-48.xlsx
33,3.2595,3.2562,240081-1-2-48.xlsx
34,3.256,3.2527,240081-1-2-48.xlsx
35,3.2524,3.2495,240081-1-2-48.xlsx
36,3.2493,3.2462,240081-1-2-48.xlsx
37,3.2462,3.2436,240081-1-2-48.xlsx
38,3.2432,3.2408,240081-1-2-48.xlsx
39,3.2406,3.2378,240081-1-2-48.xlsx
40,3.237,3.2346,240081-1-2-48.xlsx
41,3.234,3.2318,240081-1-2-48.xlsx
42,3.2312,3.2291,240081-1-2-48.xlsx
43,3.2286,3.2267,240081-1-2-48.xlsx
44,3.2258,3.2242,240081-1-2-48.xlsx
45,3.2233,3.2213,240081-1-2-48.xlsx
46,3.2205,3.2187,240081-1-2-48.xlsx
47,3.2179,3.216,240081-1-2-48.xlsx
48,3.2153,3.2133,240081-1-2-48.xlsx
49,3.2121,3.2101,240081-1-2-48.xlsx
50,3.2101,3.2082,240081-1-2-48.xlsx
51,3.2077,3.2054,240081-1-2-48.xlsx
52,3.205,3.2034,240081-1-2-48.xlsx
53,3.2025,3.2007,240081-1-2-48.xlsx
54,3.1997,3.1978,240081-1-2-48.xlsx
55,3.1968,3.195,240081-1-2-48.xlsx
56,3.1942,3.1926,240081-1-2-48.xlsx
57,3.1914,3.1895,240081-1-2-48.xlsx
58,3.1888,3.1872,240081-1-2-48.xlsx
59,3.1862,3.1846,240081-1-2-48.xlsx
60,3.1836,3.1822,240081-1-2-48.xlsx
61,3.1812,3.1798,240081-1-2-48.xlsx
62,3.179,3.1775,240081-1-2-48.xlsx
63,3.1762,3.1747,240081-1-2-48.xlsx
64,3.174,3.1723,240081-1-2-48.xlsx
65,3.1712,3.1695,240081-1-2-48.xlsx
66,3.1689,3.1671,240081-1-2-48.xlsx
67,3.1665,3.1646,240081-1-2-48.xlsx
68,3.1641,3.1623,240081-1-2-48.xlsx
69,3.1617,3.1603,240081-1-2-48.xlsx
70,3.1594,3.1576,240081-1-2-48.xlsx
71,3.1565,3.1548,240081-1-2-48.xlsx
72,3.1538,3.1523,240081-1-2-48.xlsx
73,3.1515,3.1501,240081-1-2-48.xlsx
74,3.1491,3.1475,240081-1-2-48.xlsx
75,3.1468,3.1455,240081-1-2-48.xlsx
76,3.1439,3.1427,240081-1-2-48.xlsx
77,3.1415,3.1399,240081-1-2-48.xlsx
78,3.1391,3.1376,240081-1-2-48.xlsx
79,3.137,3.1353,240081-1-2-48.xlsx
80,3.1343,3.1327,240081-1-2-48.xlsx
81,3.132,3.1305,240081-1-2-48.xlsx
82,3.1298,3.1279,240081-1-2-48.xlsx
83,3.1275,3.1259,240081-1-2-48.xlsx
84,3.1253,3.1236,240081-1-2-48.xlsx
85,3.1231,3.1216,240081-1-2-48.xlsx
86,3.1209,3.1192,240081-1-2-48.xlsx
87,3.1182,3.1167,240081-1-2-48.xlsx
88,3.1158,3.1143,240081-1-2-48.xlsx
89,3.1134,3.1117,240081-1-2-48.xlsx
90,3.1109,3.1095,240081-1-2-48.xlsx
91,3.1084,3.1069,240081-1-2-48.xlsx
92,3.1061,3.1048,240081-1-2-48.xlsx
93,3.1036,3.102,240081-1-2-48.xlsx
94,3.1008,3.0993,240081-1-2-48.xlsx
95,3.0984,3.0972,240081-1-2-48.xlsx
96,3.0963,3.0948,240081-1-2-48.xlsx
97,3.0942,3.0928,240081-1-2-48.xlsx
98,3.0918,3.0901,240081-1-2-48.xlsx
99,3.0888,3.0875,240081-1-2-48.xlsx
100,3.0865,3.0851,240081-1-2-48.xlsx
101,3.0846,3.0831,240081-1-2-48.xlsx
102,3.0822,3.0807,240081-1-2-48.xlsx
103,3.08,3.0786,240081-1-2-48.xlsx
104,3.0775,3.0756,240081-1-2-48.xlsx
105,3.0747,3.0733,240081-1-2-48.xlsx
106,3.0724,3.071,240081-1-2-48.xlsx
107,3.0704,3.069,240081-1-2-48.xlsx
108,3.068,3.0664,240081-1-2-48.xlsx
109,3.0655,3.064,240081-1-2-48.xlsx
110,3.063,3.0617,240081-1-2-48.xlsx
111,3.0609,3.0593,240081-1-2-48.xlsx
112,3.0585,3.057,240081-1-2-48.xlsx
113,3.0559,3.0544,240081-1-2-48.xlsx
114,3.0533,3.0519,240081-1-2-48.xlsx
115,3.0512,3.0498,240081-1-2-48.xlsx
116,3.0488,3.0473,240081-1-2-48.xlsx
117,3.0465,3.0451,240081-1-2-48.xlsx
118,3.0443,3.0428,240081-1-2-48.xlsx
119,3.0418,3.0404,240081-1-2-48.xlsx
120,3.0394,3.038,240081-1-2-48.xlsx
121,3.0373,3.0359,240081-1-2-48.xlsx
122,3.0349,3.0335,240081-1-2-48.xlsx
123,3.0326,3.0311,240081-1-2-48.xlsx
124,3.0302,3.0283,240081-1-2-48.xlsx
125,3.0269,3.0253,240081-1-2-48.xlsx
126,3.0247,3.0233,240081-1-2-48.xlsx
127,3.0223,3.0208,240081-1-2-48.xlsx
128,3.0198,3.0184,240081-1-2-48.xlsx
129,3.0173,3.016,240081-1-2-48.xlsx
130,3.0151,3.0138,240081-1-2-48.xlsx
131,3.0125,3.0112,240081-1-2-48.xlsx
132,3.0105,3.0092,240081-1-2-48.xlsx
133,3.0081,3.0066,240081-1-2-48.xlsx
134,3.0057,3.0044,240081-1-2-48.xlsx
135,3.0033,3.002,240081-1-2-48.xlsx
136,3.001,2.9998,240081-1-2-48.xlsx
137,2.9991,2.9977,240081-1-2-48.xlsx
138,2.9969,2.9955,240081-1-2-48.xlsx
139,2.9943,2.9929,240081-1-2-48.xlsx
140,2.9916,2.9903,240081-1-2-48.xlsx
141,2.9895,2.9881,240081-1-2-48.xlsx
142,2.9872,2.9857,240081-1-2-48.xlsx
143,2.9847,2.9832,240081-1-2-48.xlsx
144,2.9825,2.9811,240081-1-2-48.xlsx
145,2.9799,2.9783,240081-1-2-48.xlsx
146,2.9773,2.9759,240081-1-2-48.xlsx
147,2.9753,2.9738,240081-1-2-48.xlsx
148,2.9727,2.9712,240081-1-2-48.xlsx
149,2.9704,2.969,240081-1-2-48.xlsx
150,2.972,2.9771,240081-1-2-48.xlsx
151,2.9819,2.9811,240081-1-2-48.xlsx
152,2.9802,2.9797,240081-1-2-48.xlsx
153,2.9793,2.9785,240081-1-2-48.xlsx
154,2.9761,2.975,240081-1-2-48.xlsx
155,2.9755,2.9749,240081-1-2-48.xlsx
156,2.9735,2.9728,240081-1-2-48.xlsx
157,2.9747,2.9741,240081-1-2-48.xlsx
158,2.9704,2.9692,240081-1-2-48.xlsx
159,2.9697,2.9688,240081-1-2-48.xlsx
160,2.968,2.967,240081-1-2-48.xlsx
161,2.9677,2.968,240081-1-2-48.xlsx
162,2.975,2.9757,240081-1-2-48.xlsx
163,2.9509,2.9408,240081-1-2-48.xlsx
164,2.9384,2.9364,240081-1-2-48.xlsx
165,2.9357,2.9345,240081-1-2-48.xlsx
166,2.9337,2.9324,240081-1-2-48.xlsx
167,2.9315,2.9304,240081-1-2-48.xlsx
168,2.9298,2.9287,240081-1-2-48.xlsx
169,2.9274,2.9263,240081-1-2-48.xlsx
170,2.9253,2.9241,240081-1-2-48.xlsx
171,2.9227,2.9217,240081-1-2-48.xlsx
172,2.9205,2.9194,240081-1-2-48.xlsx
173,2.9183,2.9172,240081-1-2-48.xlsx
174,2.9154,2.9142,240081-1-2-48.xlsx
175,2.9129,2.9119,240081-1-2-48.xlsx
176,2.9108,2.9096,240081-1-2-48.xlsx
177,2.9085,2.9073,240081-1-2-48.xlsx
178,2.9059,2.9048,240081-1-2-48.xlsx
179,2.9038,2.9027,240081-1-2-48.xlsx
180,2.901,2.8999,240081-1-2-48.xlsx
