循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6653,3.4652,240081-1-3-48.xlsx
2,3.4728,3.4516,240081-1-3-48.xlsx
3,3.4558,3.4375,240081-1-3-48.xlsx
4,3.441,3.4269,240081-1-3-48.xlsx
5,3.4326,3.4118,240081-1-3-48.xlsx
6,3.4041,3.3936,240081-1-3-48.xlsx
7,3.3945,3.3856,240081-1-3-48.xlsx
8,3.3864,3.3779,240081-1-3-48.xlsx
9,3.3785,3.3707,240081-1-3-48.xlsx
10,3.3715,3.3639,240081-1-3-48.xlsx
11,3.3641,3.3575,240081-1-3-48.xlsx
12,3.3577,3.3511,240081-1-3-48.xlsx
13,3.3512,3.3452,240081-1-3-48.xlsx
14,3.3451,3.3395,240081-1-3-48.xlsx
15,3.3395,3.334,240081-1-3-48.xlsx
16,3.3339,3.3285,240081-1-3-48.xlsx
17,3.3288,3.3236,240081-1-3-48.xlsx
18,3.3234,3.3186,240081-1-3-48.xlsx
19,3.3181,3.3136,240081-1-3-48.xlsx
20,3.3134,3.3089,240081-1-3-48.xlsx
21,3.3086,3.3044,240081-1-3-48.xlsx
22,3.3042,3.2999,240081-1-3-48.xlsx
23,3.3,3.2957,240081-1-3-48.xlsx
24,3.2951,3.291,240081-1-3-48.xlsx
25,3.2909,3.2872,240081-1-3-48.xlsx
26,3.2865,3.2828,240081-1-3-48.xlsx
27,3.2825,3.279,240081-1-3-48.xlsx
28,3.2786,3.2752,240081-1-3-48.xlsx
29,3.2746,3.2711,240081-1-3-48.xlsx
30,3.271,3.2676,240081-1-3-48.xlsx
31,3.2672,3.2638,240081-1-3-48.xlsx
32,3.2632,3.2599,240081-1-3-48.xlsx
33,3.2594,3.2562,240081-1-3-48.xlsx
34,3.2562,3.253,240081-1-3-48.xlsx
35,3.2526,3.2495,240081-1-3-48.xlsx
36,3.2491,3.2461,240081-1-3-48.xlsx
37,3.2456,3.2427,240081-1-3-48.xlsx
38,3.2423,3.2394,240081-1-3-48.xlsx
39,3.239,3.2363,240081-1-3-48.xlsx
40,3.2356,3.2331,240081-1-3-48.xlsx
41,3.2325,3.2299,240081-1-3-48.xlsx
42,3.2294,3.227,240081-1-3-48.xlsx
43,3.2262,3.224,240081-1-3-48.xlsx
44,3.223,3.2208,240081-1-3-48.xlsx
45,3.2199,3.2177,240081-1-3-48.xlsx
46,3.2167,3.2146,240081-1-3-48.xlsx
47,3.2136,3.2115,240081-1-3-48.xlsx
48,3.2106,3.2085,240081-1-3-48.xlsx
49,3.2073,3.205,240081-1-3-48.xlsx
50,3.2048,3.2024,240081-1-3-48.xlsx
51,3.2019,3.1999,240081-1-3-48.xlsx
52,3.1988,3.1966,240081-1-3-48.xlsx
53,3.1955,3.1934,240081-1-3-48.xlsx
54,3.1924,3.1902,240081-1-3-48.xlsx
55,3.1897,3.1877,240081-1-3-48.xlsx
56,3.1859,3.1837,240081-1-3-48.xlsx
57,3.1829,3.1806,240081-1-3-48.xlsx
58,3.1804,3.1781,240081-1-3-48.xlsx
59,3.1776,3.1754,240081-1-3-48.xlsx
60,3.1746,3.1722,240081-1-3-48.xlsx
61,3.1721,3.17,240081-1-3-48.xlsx
62,3.1686,3.1669,240081-1-3-48.xlsx
63,3.1656,3.1635,240081-1-3-48.xlsx
64,3.1625,3.1606,240081-1-3-48.xlsx
65,3.1597,3.1577,240081-1-3-48.xlsx
66,3.1571,3.1551,240081-1-3-48.xlsx
67,3.1541,3.1524,240081-1-3-48.xlsx
68,3.1514,3.1498,240081-1-3-48.xlsx
69,3.1487,3.147,240081-1-3-48.xlsx
70,3.1459,3.1442,240081-1-3-48.xlsx
71,3.1431,3.1414,240081-1-3-48.xlsx
72,3.1406,3.139,240081-1-3-48.xlsx
73,3.1385,3.1369,240081-1-3-48.xlsx
74,3.1356,3.1343,240081-1-3-48.xlsx
75,3.1319,3.1306,240081-1-3-48.xlsx
76,3.1296,3.128,240081-1-3-48.xlsx
77,3.1268,3.125,240081-1-3-48.xlsx
78,3.1245,3.1227,240081-1-3-48.xlsx
79,3.1216,3.1199,240081-1-3-48.xlsx
80,3.1187,3.117,240081-1-3-48.xlsx
81,3.1161,3.1143,240081-1-3-48.xlsx
82,3.1137,3.112,240081-1-3-48.xlsx
83,3.1113,3.1096,240081-1-3-48.xlsx
84,3.1093,3.1076,240081-1-3-48.xlsx
85,3.1066,3.105,240081-1-3-48.xlsx
86,3.1043,3.1026,240081-1-3-48.xlsx
87,3.1018,3.1002,240081-1-3-48.xlsx
88,3.0993,3.0977,240081-1-3-48.xlsx
89,3.0971,3.0955,240081-1-3-48.xlsx
90,3.0946,3.0931,240081-1-3-48.xlsx
91,3.0923,3.0908,240081-1-3-48.xlsx
92,3.0898,3.0883,240081-1-3-48.xlsx
93,3.0875,3.086,240081-1-3-48.xlsx
94,3.0849,3.0834,240081-1-3-48.xlsx
95,3.0826,3.0813,240081-1-3-48.xlsx
96,3.0798,3.0783,240081-1-3-48.xlsx
97,3.0769,3.0757,240081-1-3-48.xlsx
98,3.0742,3.0729,240081-1-3-48.xlsx
99,3.0719,3.0705,240081-1-3-48.xlsx
100,3.0691,3.0677,240081-1-3-48.xlsx
101,3.0669,3.0654,240081-1-3-48.xlsx
102,3.0641,3.0625,240081-1-3-48.xlsx
103,3.0613,3.0598,240081-1-3-48.xlsx
104,3.0586,3.0572,240081-1-3-48.xlsx
105,3.0562,3.0547,240081-1-3-48.xlsx
106,3.0536,3.0522,240081-1-3-48.xlsx
107,3.0512,3.0497,240081-1-3-48.xlsx
108,3.0483,3.0469,240081-1-3-48.xlsx
109,3.0461,3.0446,240081-1-3-48.xlsx
110,3.0432,3.0418,240081-1-3-48.xlsx
111,3.0407,3.0391,240081-1-3-48.xlsx
112,3.0384,3.0369,240081-1-3-48.xlsx
113,3.0358,3.0346,240081-1-3-48.xlsx
114,3.0335,3.0322,240081-1-3-48.xlsx
115,3.0311,3.0297,240081-1-3-48.xlsx
116,3.0286,3.0271,240081-1-3-48.xlsx
117,3.0259,3.0244,240081-1-3-48.xlsx
118,3.0237,3.0221,240081-1-3-48.xlsx
119,3.0214,3.0199,240081-1-3-48.xlsx
120,3.0188,3.0172,240081-1-3-48.xlsx
121,3.0164,3.0149,240081-1-3-48.xlsx
122,3.014,3.0124,240081-1-3-48.xlsx
123,3.0115,3.0098,240081-1-3-48.xlsx
124,3.0091,3.0074,240081-1-3-48.xlsx
125,3.0062,3.0045,240081-1-3-48.xlsx
126,3.0038,3.002,240081-1-3-48.xlsx
127,3.0011,2.9996,240081-1-3-48.xlsx
128,2.9985,2.9969,240081-1-3-48.xlsx
129,2.996,2.9943,240081-1-3-48.xlsx
130,2.9931,2.9913,240081-1-3-48.xlsx
131,2.9905,2.989,240081-1-3-48.xlsx
132,2.9875,2.986,240081-1-3-48.xlsx
133,2.9848,2.9834,240081-1-3-48.xlsx
134,2.9826,2.9811,240081-1-3-48.xlsx
135,2.98,2.9785,240081-1-3-48.xlsx
136,2.9774,2.976,240081-1-3-48.xlsx
137,2.9743,2.9728,240081-1-3-48.xlsx
138,2.9714,2.97,240081-1-3-48.xlsx
139,2.969,2.9674,240081-1-3-48.xlsx
140,2.9665,2.9649,240081-1-3-48.xlsx
141,2.9637,2.9621,240081-1-3-48.xlsx
142,2.9613,2.9597,240081-1-3-48.xlsx
143,2.9585,2.9568,240081-1-3-48.xlsx
144,2.9554,2.9539,240081-1-3-48.xlsx
145,2.9528,2.9513,240081-1-3-48.xlsx
146,2.9506,2.9491,240081-1-3-48.xlsx
147,2.9476,2.946,240081-1-3-48.xlsx
148,2.9489,2.9522,240081-1-3-48.xlsx
149,2.9557,2.9552,240081-1-3-48.xlsx
150,2.9547,2.9541,240081-1-3-48.xlsx
151,2.9533,2.9526,240081-1-3-48.xlsx
152,2.9508,2.9498,240081-1-3-48.xlsx
153,2.9496,2.9489,240081-1-3-48.xlsx
154,2.9475,2.9469,240081-1-3-48.xlsx
155,2.9488,2.9481,240081-1-3-48.xlsx
156,2.9444,2.9434,240081-1-3-48.xlsx
157,2.9437,2.9429,240081-1-3-48.xlsx
158,2.942,2.9411,240081-1-3-48.xlsx
159,2.9419,2.9415,240081-1-3-48.xlsx
160,2.948,2.9481,240081-1-3-48.xlsx
161,2.9308,2.9243,240081-1-3-48.xlsx
162,2.9156,2.9135,240081-1-3-48.xlsx
163,2.913,2.9118,240081-1-3-48.xlsx
164,2.9111,2.91,240081-1-3-48.xlsx
165,2.9099,2.9086,240081-1-3-48.xlsx
166,2.9072,2.9062,240081-1-3-48.xlsx
167,2.9044,2.9034,240081-1-3-48.xlsx
168,2.9023,2.9013,240081-1-3-48.xlsx
169,2.9004,2.8994,240081-1-3-48.xlsx
170,2.8981,2.897,240081-1-3-48.xlsx
171,2.8958,2.8948,240081-1-3-48.xlsx
172,2.8938,2.8928,240081-1-3-48.xlsx
173,2.8915,2.8904,240081-1-3-48.xlsx
174,2.8897,2.8884,240081-1-3-48.xlsx
175,2.8868,2.8855,240081-1-3-48.xlsx
176,2.8842,2.8829,240081-1-3-48.xlsx
177,2.8824,2.881,240081-1-3-48.xlsx
178,2.8797,2.8785,240081-1-3-48.xlsx
179,2.8772,2.8759,240081-1-3-48.xlsx
180,2.8747,2.8735,240081-1-3-48.xlsx
181,2.8722,2.871,240081-1-3-48.xlsx
182,2.87,2.8688,240081-1-3-48.xlsx
183,2.8673,2.8662,240081-1-3-48.xlsx
184,2.8652,2.8639,240081-1-3-48.xlsx
185,2.8635,2.8623,240081-1-3-48.xlsx
186,2.8609,2.8598,240081-1-3-48.xlsx
187,2.8591,2.8578,240081-1-3-48.xlsx
188,2.8566,2.8554,240081-1-3-48.xlsx
189,2.8535,2.8523,240081-1-3-48.xlsx
190,2.8513,2.8501,240081-1-3-48.xlsx
191,2.8483,2.8471,240081-1-3-48.xlsx
192,2.845,2.8438,240081-1-3-48.xlsx
193,2.8425,2.8416,240081-1-3-48.xlsx
194,2.8406,2.8398,240081-1-3-48.xlsx
195,2.8383,2.8376,240081-1-3-48.xlsx
196,2.8365,2.8358,240081-1-3-48.xlsx
197,2.8347,2.8337,240081-1-3-48.xlsx
198,2.8328,2.8318,240081-1-3-48.xlsx
199,2.8306,2.8296,240081-1-3-48.xlsx
200,2.828,2.8269,240081-1-3-48.xlsx
201,2.8259,2.8245,240081-1-3-48.xlsx
202,2.8233,2.8222,240081-1-3-48.xlsx
203,2.821,2.82,240081-1-3-48.xlsx
204,2.8188,2.8178,240081-1-3-48.xlsx
205,2.8167,2.8158,240081-1-3-48.xlsx
206,2.8141,2.8133,240081-1-3-48.xlsx
207,2.8115,2.8107,240081-1-3-48.xlsx
208,2.8098,2.8089,240081-1-3-48.xlsx
209,2.8078,2.8068,240081-1-3-48.xlsx
210,2.8061,2.8053,240081-1-3-48.xlsx
211,2.805,2.8041,240081-1-3-48.xlsx
212,2.8025,2.807,240081-1-3-48.xlsx
213,2.8242,2.8263,240081-1-3-48.xlsx
214,2.8207,2.8197,240081-1-3-48.xlsx
215,2.8202,2.8204,240081-1-3-48.xlsx
216,2.8255,2.8272,240081-1-3-48.xlsx
217,2.8276,2.8267,240081-1-3-48.xlsx
218,2.8187,2.8168,240081-1-3-48.xlsx
219,2.8134,2.8122,240081-1-3-48.xlsx
220,2.8098,2.8087,240081-1-3-48.xlsx
221,2.812,2.8126,240081-1-3-48.xlsx
222,2.8186,2.8195,240081-1-3-48.xlsx
223,2.8198,2.8186,240081-1-3-48.xlsx
224,2.8085,2.8061,240081-1-3-48.xlsx
225,2.805,2.804,240081-1-3-48.xlsx
226,2.8031,2.8025,240081-1-3-48.xlsx
227,2.8055,2.8061,240081-1-3-48.xlsx
228,2.81,2.8104,240081-1-3-48.xlsx
229,2.8108,2.8105,240081-1-3-48.xlsx
230,2.8023,2.8,240081-1-3-48.xlsx
231,2.7955,2.7943,240081-1-3-48.xlsx
232,2.7926,2.7921,240081-1-3-48.xlsx
233,2.7965,2.7972,240081-1-3-48.xlsx
234,2.8044,2.806,240081-1-3-48.xlsx
235,2.8058,2.8047,240081-1-3-48.xlsx
236,2.7945,2.7922,240081-1-3-48.xlsx
237,2.7904,2.7897,240081-1-3-48.xlsx
238,2.7881,2.7875,240081-1-3-48.xlsx
239,2.7893,2.7899,240081-1-3-48.xlsx
240,2.7919,2.7919,240081-1-3-48.xlsx
241,2.7885,2.7871,240081-1-3-48.xlsx
242,2.7802,2.7786,240081-1-3-48.xlsx
243,2.7759,2.7749,240081-1-3-48.xlsx
244,2.7727,2.7722,240081-1-3-48.xlsx
245,2.7743,2.7745,240081-1-3-48.xlsx
246,2.7761,2.7759,240081-1-3-48.xlsx
247,2.7726,2.7714,240081-1-3-48.xlsx
248,2.7664,2.765,240081-1-3-48.xlsx
249,2.7629,2.7619,240081-1-3-48.xlsx
250,2.7593,2.7583,240081-1-3-48.xlsx
251,2.7572,2.7564,240081-1-3-48.xlsx
252,2.7558,2.7552,240081-1-3-48.xlsx
253,2.7527,2.7518,240081-1-3-48.xlsx
254,2.7484,2.7472,240081-1-3-48.xlsx
255,2.7446,2.7435,240081-1-3-48.xlsx
256,2.7418,2.7408,240081-1-3-48.xlsx
257,2.7423,2.742,240081-1-3-48.xlsx
258,2.7419,2.7411,240081-1-3-48.xlsx
259,2.7368,2.7352,240081-1-3-48.xlsx
260,2.733,2.7321,240081-1-3-48.xlsx
261,2.7314,2.7306,240081-1-3-48.xlsx
262,2.7299,2.7296,240081-1-3-48.xlsx
263,2.7312,2.7312,240081-1-3-48.xlsx
264,2.732,2.7318,240081-1-3-48.xlsx
265,2.7322,2.7318,240081-1-3-48.xlsx
266,2.7301,2.7291,240081-1-3-48.xlsx
267,2.7262,2.7249,240081-1-3-48.xlsx
268,2.7256,2.7258,240081-1-3-48.xlsx
269,2.7303,2.7314,240081-1-3-48.xlsx
270,2.7366,2.7375,240081-1-3-48.xlsx
271,2.7327,2.7315,240081-1-3-48.xlsx
272,2.7284,2.7275,240081-1-3-48.xlsx
273,2.7242,2.7234,240081-1-3-48.xlsx
274,2.722,2.7218,240081-1-3-48.xlsx
275,2.7181,2.7173,240081-1-3-48.xlsx
276,2.7169,2.7163,240081-1-3-48.xlsx
277,2.7125,2.7118,240081-1-3-48.xlsx
278,2.7105,2.7099,240081-1-3-48.xlsx
279,2.7091,2.7087,240081-1-3-48.xlsx
280,2.7106,2.7115,240081-1-3-48.xlsx
281,2.7153,2.7154,240081-1-3-48.xlsx
282,2.7113,2.7095,240081-1-3-48.xlsx
283,2.7036,2.7017,240081-1-3-48.xlsx
284,2.6984,2.6968,240081-1-3-48.xlsx
285,2.6947,2.6933,240081-1-3-48.xlsx
286,2.6926,2.692,240081-1-3-48.xlsx
287,2.6942,2.6945,240081-1-3-48.xlsx
288,2.6951,2.6944,240081-1-3-48.xlsx
289,2.6912,2.6901,240081-1-3-48.xlsx
290,2.6877,2.6866,240081-1-3-48.xlsx
291,2.6852,2.6847,240081-1-3-48.xlsx
292,2.69,2.6919,240081-1-3-48.xlsx
293,2.6928,2.6923,240081-1-3-48.xlsx
294,2.6865,2.6845,240081-1-3-48.xlsx
