循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6566,3.4548,240081-1-8-48.xlsx
2,3.4616,3.4307,240081-1-8-48.xlsx
3,3.4342,3.416,240081-1-8-48.xlsx
4,3.42,3.4076,240081-1-8-48.xlsx
5,3.4026,3.3746,240081-1-8-48.xlsx
6,3.3752,3.3675,240081-1-8-48.xlsx
7,3.3682,3.3597,240081-1-8-48.xlsx
8,3.36,3.3529,240081-1-8-48.xlsx
9,3.3533,3.3468,240081-1-8-48.xlsx
10,3.347,3.3412,240081-1-8-48.xlsx
11,3.3414,3.3354,240081-1-8-48.xlsx
12,3.3355,3.3303,240081-1-8-48.xlsx
13,3.3301,3.3248,240081-1-8-48.xlsx
14,3.3248,3.3198,240081-1-8-48.xlsx
15,3.3199,3.315,240081-1-8-48.xlsx
16,3.3147,3.3099,240081-1-8-48.xlsx
17,3.3099,3.3055,240081-1-8-48.xlsx
18,3.3052,3.3016,240081-1-8-48.xlsx
19,3.3012,3.2973,240081-1-8-48.xlsx
20,3.2969,3.2929,240081-1-8-48.xlsx
21,3.2927,3.2888,240081-1-8-48.xlsx
22,3.2887,3.2851,240081-1-8-48.xlsx
23,3.2846,3.2807,240081-1-8-48.xlsx
24,3.2801,3.2767,240081-1-8-48.xlsx
25,3.2761,3.2727,240081-1-8-48.xlsx
26,3.2724,3.2691,240081-1-8-48.xlsx
27,3.2685,3.2652,240081-1-8-48.xlsx
28,3.2647,3.2617,240081-1-8-48.xlsx
29,3.2609,3.2578,240081-1-8-48.xlsx
30,3.2572,3.2543,240081-1-8-48.xlsx
31,3.2538,3.2508,240081-1-8-48.xlsx
32,3.2503,3.2473,240081-1-8-48.xlsx
33,3.2466,3.2437,240081-1-8-48.xlsx
34,3.2434,3.2407,240081-1-8-48.xlsx
35,3.2402,3.2376,240081-1-8-48.xlsx
36,3.2372,3.2344,240081-1-8-48.xlsx
37,3.2339,3.2313,240081-1-8-48.xlsx
38,3.2304,3.228,240081-1-8-48.xlsx
39,3.2274,3.2251,240081-1-8-48.xlsx
40,3.2247,3.2224,240081-1-8-48.xlsx
41,3.2216,3.2195,240081-1-8-48.xlsx
42,3.2189,3.2165,240081-1-8-48.xlsx
43,3.2159,3.2135,240081-1-8-48.xlsx
44,3.2127,3.2106,240081-1-8-48.xlsx
45,3.2098,3.2075,240081-1-8-48.xlsx
46,3.2062,3.2041,240081-1-8-48.xlsx
47,3.2034,3.201,240081-1-8-48.xlsx
48,3.2009,3.1988,240081-1-8-48.xlsx
49,3.198,3.196,240081-1-8-48.xlsx
50,3.1951,3.1929,240081-1-8-48.xlsx
51,3.192,3.1903,240081-1-8-48.xlsx
52,3.1896,3.1874,240081-1-8-48.xlsx
53,3.1856,3.1837,240081-1-8-48.xlsx
54,3.183,3.1811,240081-1-8-48.xlsx
55,3.1804,3.1784,240081-1-8-48.xlsx
56,3.1777,3.1759,240081-1-8-48.xlsx
57,3.1747,3.1728,240081-1-8-48.xlsx
58,3.1725,3.1705,240081-1-8-48.xlsx
59,3.1697,3.1682,240081-1-8-48.xlsx
60,3.1671,3.1655,240081-1-8-48.xlsx
61,3.1642,3.162,240081-1-8-48.xlsx
62,3.1609,3.1591,240081-1-8-48.xlsx
63,3.1581,3.1563,240081-1-8-48.xlsx
64,3.1555,3.1538,240081-1-8-48.xlsx
65,3.1529,3.1511,240081-1-8-48.xlsx
66,3.1501,3.148,240081-1-8-48.xlsx
67,3.1468,3.1453,240081-1-8-48.xlsx
68,3.1444,3.1425,240081-1-8-48.xlsx
69,3.1415,3.1395,240081-1-8-48.xlsx
70,3.139,3.1375,240081-1-8-48.xlsx
71,3.1363,3.1344,240081-1-8-48.xlsx
72,3.1327,3.1308,240081-1-8-48.xlsx
73,3.1301,3.1283,240081-1-8-48.xlsx
74,3.128,3.1258,240081-1-8-48.xlsx
75,3.1248,3.1227,240081-1-8-48.xlsx
76,3.1216,3.1196,240081-1-8-48.xlsx
77,3.1188,3.1171,240081-1-8-48.xlsx
78,3.1159,3.114,240081-1-8-48.xlsx
