循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6617,3.4618,240081-1-5-48.xlsx
2,3.4702,3.4467,240081-1-5-48.xlsx
3,3.4514,3.4337,240081-1-5-48.xlsx
4,3.4378,3.422,240081-1-5-48.xlsx
5,3.4173,3.3912,240081-1-5-48.xlsx
6,3.3928,3.38,240081-1-5-48.xlsx
7,3.3814,3.3727,240081-1-5-48.xlsx
8,3.3739,3.3656,240081-1-5-48.xlsx
9,3.3669,3.3589,240081-1-5-48.xlsx
10,3.3598,3.3529,240081-1-5-48.xlsx
11,3.3541,3.3473,240081-1-5-48.xlsx
12,3.3477,3.3413,240081-1-5-48.xlsx
13,3.3421,3.3363,240081-1-5-48.xlsx
14,3.3369,3.331,240081-1-5-48.xlsx
15,3.3317,3.3262,240081-1-5-48.xlsx
16,3.3266,3.3212,240081-1-5-48.xlsx
17,3.3212,3.316,240081-1-5-48.xlsx
18,3.3164,3.3105,240081-1-5-48.xlsx
19,3.3107,3.306,240081-1-5-48.xlsx
20,3.3063,3.3018,240081-1-5-48.xlsx
21,3.3021,3.2979,240081-1-5-48.xlsx
22,3.2982,3.2939,240081-1-5-48.xlsx
23,3.2938,3.2898,240081-1-5-48.xlsx
24,3.2897,3.2858,240081-1-5-48.xlsx
25,3.2858,3.2819,240081-1-5-48.xlsx
26,3.2819,3.2781,240081-1-5-48.xlsx
27,3.2781,3.2743,240081-1-5-48.xlsx
28,3.2744,3.2705,240081-1-5-48.xlsx
29,3.2705,3.2667,240081-1-5-48.xlsx
30,3.2666,3.2627,240081-1-5-48.xlsx
31,3.2628,3.2589,240081-1-5-48.xlsx
32,3.2591,3.2551,240081-1-5-48.xlsx
33,3.255,3.2513,240081-1-5-48.xlsx
34,3.2514,3.2474,240081-1-5-48.xlsx
35,3.2474,3.2436,240081-1-5-48.xlsx
36,3.2436,3.24,240081-1-5-48.xlsx
37,3.2399,3.2362,240081-1-5-48.xlsx
38,3.2357,3.2319,240081-1-5-48.xlsx
39,3.2314,3.2279,240081-1-5-48.xlsx
40,3.2277,3.2245,240081-1-5-48.xlsx
41,3.224,3.2208,240081-1-5-48.xlsx
42,3.2205,3.2171,240081-1-5-48.xlsx
43,3.2167,3.2135,240081-1-5-48.xlsx
44,3.2132,3.2101,240081-1-5-48.xlsx
45,3.2096,3.2062,240081-1-5-48.xlsx
46,3.206,3.2028,240081-1-5-48.xlsx
47,3.2023,3.199,240081-1-5-48.xlsx
48,3.1987,3.1956,240081-1-5-48.xlsx
49,3.1951,3.1921,240081-1-5-48.xlsx
50,3.1912,3.1882,240081-1-5-48.xlsx
51,3.1877,3.1848,240081-1-5-48.xlsx
52,3.1845,3.1818,240081-1-5-48.xlsx
53,3.1809,3.178,240081-1-5-48.xlsx
54,3.1771,3.1742,240081-1-5-48.xlsx
55,3.1736,3.1706,240081-1-5-48.xlsx
56,3.1703,3.1672,240081-1-5-48.xlsx
57,3.1665,3.164,240081-1-5-48.xlsx
58,3.1635,3.1607,240081-1-5-48.xlsx
59,3.16,3.1573,240081-1-5-48.xlsx
60,3.1566,3.1544,240081-1-5-48.xlsx
61,3.1538,3.1512,240081-1-5-48.xlsx
62,3.1505,3.1479,240081-1-5-48.xlsx
63,3.1472,3.1448,240081-1-5-48.xlsx
64,3.144,3.1415,240081-1-5-48.xlsx
65,3.1408,3.1383,240081-1-5-48.xlsx
66,3.1376,3.1352,240081-1-5-48.xlsx
67,3.1346,3.1322,240081-1-5-48.xlsx
68,3.1315,3.1291,240081-1-5-48.xlsx
69,3.1286,3.126,240081-1-5-48.xlsx
70,3.1252,3.1227,240081-1-5-48.xlsx
71,3.1222,3.1198,240081-1-5-48.xlsx
72,3.119,3.1167,240081-1-5-48.xlsx
73,3.1163,3.1139,240081-1-5-48.xlsx
74,3.1133,3.1109,240081-1-5-48.xlsx
75,3.1107,3.1084,240081-1-5-48.xlsx
76,3.1077,3.1053,240081-1-5-48.xlsx
77,3.1043,3.1021,240081-1-5-48.xlsx
78,3.101,3.0987,240081-1-5-48.xlsx
79,3.0983,3.0959,240081-1-5-48.xlsx
80,3.0953,3.0932,240081-1-5-48.xlsx
81,3.093,3.0908,240081-1-5-48.xlsx
82,3.0902,3.0879,240081-1-5-48.xlsx
83,3.0872,3.0851,240081-1-5-48.xlsx
84,3.0845,3.0822,240081-1-5-48.xlsx
85,3.0819,3.0798,240081-1-5-48.xlsx
86,3.0793,3.077,240081-1-5-48.xlsx
87,3.0766,3.0744,240081-1-5-48.xlsx
88,3.0736,3.0714,240081-1-5-48.xlsx
89,3.0702,3.0682,240081-1-5-48.xlsx
90,3.0676,3.0657,240081-1-5-48.xlsx
91,3.0651,3.063,240081-1-5-48.xlsx
92,3.0628,3.0605,240081-1-5-48.xlsx
93,3.059,3.0567,240081-1-5-48.xlsx
94,3.0561,3.0539,240081-1-5-48.xlsx
95,3.0534,3.0514,240081-1-5-48.xlsx
96,3.0507,3.0488,240081-1-5-48.xlsx
97,3.0482,3.0461,240081-1-5-48.xlsx
98,3.0456,3.0437,240081-1-5-48.xlsx
99,3.0431,3.0411,240081-1-5-48.xlsx
100,3.0398,3.0379,240081-1-5-48.xlsx
101,3.0368,3.0348,240081-1-5-48.xlsx
102,3.034,3.032,240081-1-5-48.xlsx
103,3.0315,3.0296,240081-1-5-48.xlsx
104,3.0288,3.0267,240081-1-5-48.xlsx
105,3.0259,3.0239,240081-1-5-48.xlsx
106,3.0232,3.0214,240081-1-5-48.xlsx
107,3.0205,3.0183,240081-1-5-48.xlsx
108,3.0177,3.0157,240081-1-5-48.xlsx
109,3.015,3.0133,240081-1-5-48.xlsx
110,3.0126,3.0109,240081-1-5-48.xlsx
111,3.0101,3.0082,240081-1-5-48.xlsx
112,3.0077,3.0059,240081-1-5-48.xlsx
113,3.0049,3.0031,240081-1-5-48.xlsx
114,3.0022,3.0002,240081-1-5-48.xlsx
115,2.999,2.997,240081-1-5-48.xlsx
116,2.9964,2.9945,240081-1-5-48.xlsx
117,2.9941,2.9922,240081-1-5-48.xlsx
118,2.9912,2.9891,240081-1-5-48.xlsx
119,2.9886,2.9867,240081-1-5-48.xlsx
120,2.9865,2.9845,240081-1-5-48.xlsx
121,2.9831,2.9812,240081-1-5-48.xlsx
122,2.98,2.9781,240081-1-5-48.xlsx
123,2.9775,2.9755,240081-1-5-48.xlsx
124,2.9747,2.9727,240081-1-5-48.xlsx
125,2.9719,2.9699,240081-1-5-48.xlsx
126,2.9692,2.9671,240081-1-5-48.xlsx
127,2.9664,2.9645,240081-1-5-48.xlsx
128,2.9639,2.9621,240081-1-5-48.xlsx
129,2.9612,2.9594,240081-1-5-48.xlsx
130,2.9587,2.957,240081-1-5-48.xlsx
131,2.9561,2.9542,240081-1-5-48.xlsx
132,2.9529,2.9511,240081-1-5-48.xlsx
133,2.9501,2.9484,240081-1-5-48.xlsx
134,2.9473,2.9451,240081-1-5-48.xlsx
135,2.9445,2.9424,240081-1-5-48.xlsx
136,2.9417,2.9399,240081-1-5-48.xlsx
137,2.9396,2.9376,240081-1-5-48.xlsx
138,2.9366,2.9349,240081-1-5-48.xlsx
139,2.9344,2.9326,240081-1-5-48.xlsx
140,2.9323,2.9306,240081-1-5-48.xlsx
141,2.9288,2.9273,240081-1-5-48.xlsx
142,2.9262,2.932,240081-1-5-48.xlsx
143,2.9419,2.9399,240081-1-5-48.xlsx
144,2.9389,2.9379,240081-1-5-48.xlsx
145,2.9373,2.9355,240081-1-5-48.xlsx
146,2.9335,2.9316,240081-1-5-48.xlsx
147,2.932,2.9305,240081-1-5-48.xlsx
148,2.9299,2.9288,240081-1-5-48.xlsx
149,2.9303,2.928,240081-1-5-48.xlsx
150,2.9257,2.9243,240081-1-5-48.xlsx
151,2.925,2.9236,240081-1-5-48.xlsx
152,2.9224,2.9212,240081-1-5-48.xlsx
153,2.9241,2.9249,240081-1-5-48.xlsx
154,2.9296,2.9298,240081-1-5-48.xlsx
155,2.9017,2.8908,240081-1-5-48.xlsx
156,2.8908,2.8884,240081-1-5-48.xlsx
157,2.888,2.8866,240081-1-5-48.xlsx
158,2.8866,2.8852,240081-1-5-48.xlsx
159,2.8843,2.883,240081-1-5-48.xlsx
160,2.8819,2.8807,240081-1-5-48.xlsx
161,2.8802,2.8788,240081-1-5-48.xlsx
162,2.8783,2.8768,240081-1-5-48.xlsx
163,2.876,2.8745,240081-1-5-48.xlsx
164,2.8727,2.8713,240081-1-5-48.xlsx
165,2.8702,2.8686,240081-1-5-48.xlsx
166,2.8678,2.8662,240081-1-5-48.xlsx
167,2.8658,2.8641,240081-1-5-48.xlsx
168,2.8631,2.8613,240081-1-5-48.xlsx
169,2.8603,2.8586,240081-1-5-48.xlsx
170,2.8577,2.856,240081-1-5-48.xlsx
171,2.8549,2.8533,240081-1-5-48.xlsx
172,2.853,2.8512,240081-1-5-48.xlsx
173,2.8495,2.8479,240081-1-5-48.xlsx
174,2.8469,2.8454,240081-1-5-48.xlsx
175,2.8446,2.843,240081-1-5-48.xlsx
176,2.8418,2.8402,240081-1-5-48.xlsx
177,2.8398,2.8382,240081-1-5-48.xlsx
178,2.8368,2.8351,240081-1-5-48.xlsx
179,2.8343,2.8324,240081-1-5-48.xlsx
180,2.8315,2.8298,240081-1-5-48.xlsx
181,2.829,2.8279,240081-1-5-48.xlsx
182,2.8275,2.8256,240081-1-5-48.xlsx
183,2.8249,2.8231,240081-1-5-48.xlsx
184,2.8224,2.8207,240081-1-5-48.xlsx
185,2.8203,2.8187,240081-1-5-48.xlsx
186,2.8167,2.8152,240081-1-5-48.xlsx
