循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6805,3.4892,240081-2-4-49.xlsx
2,3.4938,3.4703,240081-2-4-49.xlsx
3,3.4732,3.4552,240081-2-4-49.xlsx
4,3.4563,3.4431,240081-2-4-49.xlsx
5,3.4445,3.4345,240081-2-4-49.xlsx
6,3.4335,3.4207,240081-2-4-49.xlsx
7,3.4255,3.4216,240081-2-4-49.xlsx
8,3.4218,3.4129,240081-2-4-49.xlsx
9,3.4127,3.405,240081-2-4-49.xlsx
10,3.4047,3.3973,240081-2-4-49.xlsx
11,3.3971,3.391,240081-2-4-49.xlsx
12,3.3921,3.3872,240081-2-4-49.xlsx
13,3.3903,3.3868,240081-2-4-49.xlsx
14,3.3874,3.381,240081-2-4-49.xlsx
15,3.3791,3.3729,240081-2-4-49.xlsx
16,3.372,3.3668,240081-2-4-49.xlsx
17,3.3657,3.3605,240081-2-4-49.xlsx
18,3.3601,3.3564,240081-2-4-49.xlsx
19,3.3573,3.3533,240081-2-4-49.xlsx
20,3.3544,3.3505,240081-2-4-49.xlsx
21,3.3489,3.3439,240081-2-4-49.xlsx
22,3.3413,3.337,240081-2-4-49.xlsx
23,3.3358,3.3318,240081-2-4-49.xlsx
24,3.3307,3.3269,240081-2-4-49.xlsx
25,3.3257,3.3224,240081-2-4-49.xlsx
26,3.3219,3.3177,240081-2-4-49.xlsx
27,3.3169,3.3104,240081-2-4-49.xlsx
28,3.2978,3.2938,240081-2-4-49.xlsx
29,3.2929,3.2903,240081-2-4-49.xlsx
30,3.2896,3.2866,240081-2-4-49.xlsx
31,3.2858,3.2829,240081-2-4-49.xlsx
32,3.2821,3.2791,240081-2-4-49.xlsx
33,3.2787,3.276,240081-2-4-49.xlsx
34,3.2748,3.275,240081-2-4-49.xlsx
35,3.2838,3.2818,240081-2-4-49.xlsx
36,3.2813,3.2787,240081-2-4-49.xlsx
37,3.278,3.276,240081-2-4-49.xlsx
38,3.2792,3.2779,240081-2-4-49.xlsx
39,3.2796,3.2775,240081-2-4-49.xlsx
40,3.2753,3.2722,240081-2-4-49.xlsx
41,3.2696,3.2671,240081-2-4-49.xlsx
42,3.2654,3.2628,240081-2-4-49.xlsx
43,3.2617,3.2594,240081-2-4-49.xlsx
44,3.2564,3.2518,240081-2-4-49.xlsx
45,3.2411,3.2378,240081-2-4-49.xlsx
46,3.2483,3.2497,240081-2-4-49.xlsx
47,3.2516,3.2498,240081-2-4-49.xlsx
48,3.2483,3.2461,240081-2-4-49.xlsx
49,3.2447,3.2425,240081-2-4-49.xlsx
50,3.2418,3.24,240081-2-4-49.xlsx
51,3.2441,3.2392,240081-2-4-49.xlsx
52,3.2225,3.2198,240081-2-4-49.xlsx
53,3.2229,3.2214,240081-2-4-49.xlsx
54,3.2221,3.2205,240081-2-4-49.xlsx
55,3.2208,3.2189,240081-2-4-49.xlsx
56,3.217,3.2143,240081-2-4-49.xlsx
57,3.2249,3.2272,240081-2-4-49.xlsx
58,3.2212,3.218,240081-2-4-49.xlsx
59,3.2137,3.2101,240081-2-4-49.xlsx
60,3.2051,3.2023,240081-2-4-49.xlsx
61,3.1981,3.195,240081-2-4-49.xlsx
62,3.1956,3.1949,240081-2-4-49.xlsx
63,3.1992,3.1983,240081-2-4-49.xlsx
64,3.1999,3.1988,240081-2-4-49.xlsx
65,3.1949,3.192,240081-2-4-49.xlsx
66,3.1887,3.1864,240081-2-4-49.xlsx
67,3.184,3.1816,240081-2-4-49.xlsx
68,3.1811,3.1801,240081-2-4-49.xlsx
69,3.1849,3.186,240081-2-4-49.xlsx
70,3.1944,3.1938,240081-2-4-49.xlsx
71,3.1923,3.1833,240081-2-4-49.xlsx
72,3.1562,3.153,240081-2-4-49.xlsx
73,3.1525,3.1499,240081-2-4-49.xlsx
74,3.1455,3.1435,240081-2-4-49.xlsx
75,3.1464,3.1444,240081-2-4-49.xlsx
76,3.1442,3.1417,240081-2-4-49.xlsx
77,3.1391,3.1362,240081-2-4-49.xlsx
78,3.1325,3.1293,240081-2-4-49.xlsx
79,3.1275,3.1246,240081-2-4-49.xlsx
80,3.1267,3.1251,240081-2-4-49.xlsx
81,3.1256,3.1232,240081-2-4-49.xlsx
82,3.1223,3.1198,240081-2-4-49.xlsx
83,3.1184,3.1154,240081-2-4-49.xlsx
84,3.1105,3.1079,240081-2-4-49.xlsx
85,3.1078,3.1048,240081-2-4-49.xlsx
86,3.1053,3.1034,240081-2-4-49.xlsx
87,3.1136,3.1132,240081-2-4-49.xlsx
88,3.1119,3.1096,240081-2-4-49.xlsx
89,3.1054,3.1028,240081-2-4-49.xlsx
90,3.1014,3.0985,240081-2-4-49.xlsx
91,3.0975,3.0953,240081-2-4-49.xlsx
92,3.1012,3.1012,240081-2-4-49.xlsx
93,3.1008,3.0984,240081-2-4-49.xlsx
94,3.0947,3.0916,240081-2-4-49.xlsx
95,3.088,3.0852,240081-2-4-49.xlsx
96,3.0829,3.0805,240081-2-4-49.xlsx
97,3.0817,3.08,240081-2-4-49.xlsx
98,3.0806,3.0789,240081-2-4-49.xlsx
99,3.0776,3.0753,240081-2-4-49.xlsx
100,3.0725,3.0698,240081-2-4-49.xlsx
101,3.0685,3.0658,240081-2-4-49.xlsx
102,3.0643,3.0617,240081-2-4-49.xlsx
103,3.0616,3.0592,240081-2-4-49.xlsx
104,3.0597,3.0572,240081-2-4-49.xlsx
105,3.0552,3.053,240081-2-4-49.xlsx
106,3.0527,3.0497,240081-2-4-49.xlsx
107,3.049,3.0469,240081-2-4-49.xlsx
108,3.0465,3.044,240081-2-4-49.xlsx
109,3.0414,3.0381,240081-2-4-49.xlsx
110,3.0379,3.0349,240081-2-4-49.xlsx
111,3.0317,3.0295,240081-2-4-49.xlsx
112,3.0297,3.0269,240081-2-4-49.xlsx
113,3.0255,3.0227,240081-2-4-49.xlsx
114,3.0259,3.0228,240081-2-4-49.xlsx
115,3.0186,3.0167,240081-2-4-49.xlsx
116,3.0192,3.0167,240081-2-4-49.xlsx
117,3.0147,3.0126,240081-2-4-49.xlsx
118,3.0136,3.0112,240081-2-4-49.xlsx
119,3.0051,3.0014,240081-2-4-49.xlsx
120,3.0031,3.001,240081-2-4-49.xlsx
121,3.0005,2.9972,240081-2-4-49.xlsx
122,2.994,2.9914,240081-2-4-49.xlsx
123,2.9902,2.9886,240081-2-4-49.xlsx
124,2.9907,2.9872,240081-2-4-49.xlsx
125,2.9848,2.9832,240081-2-4-49.xlsx
126,2.984,2.9821,240081-2-4-49.xlsx
127,2.9799,2.977,240081-2-4-49.xlsx
128,2.9745,2.9718,240081-2-4-49.xlsx
129,2.9691,2.9677,240081-2-4-49.xlsx
130,2.9682,2.9657,240081-2-4-49.xlsx
131,2.9688,2.9669,240081-2-4-49.xlsx
132,2.9662,2.9637,240081-2-4-49.xlsx
133,2.9616,2.9584,240081-2-4-49.xlsx
134,2.9575,2.9567,240081-2-4-49.xlsx
135,2.9525,2.9503,240081-2-4-49.xlsx
136,2.9504,2.9475,240081-2-4-49.xlsx
137,2.9507,2.9488,240081-2-4-49.xlsx
138,2.9458,2.943,240081-2-4-49.xlsx
139,2.9422,2.9393,240081-2-4-49.xlsx
140,2.9377,2.935,240081-2-4-49.xlsx
141,2.9359,2.935,240081-2-4-49.xlsx
142,2.9395,2.9386,240081-2-4-49.xlsx
143,2.9375,2.9355,240081-2-4-49.xlsx
144,2.9343,2.9318,240081-2-4-49.xlsx
145,2.9283,2.9256,240081-2-4-49.xlsx
146,2.9263,2.9244,240081-2-4-49.xlsx
147,2.9273,2.9265,240081-2-4-49.xlsx
148,2.9289,2.9277,240081-2-4-49.xlsx
149,2.9183,2.9154,240081-2-4-49.xlsx
150,2.9152,2.9124,240081-2-4-49.xlsx
151,2.9106,2.9091,240081-2-4-49.xlsx
152,2.9129,2.9144,240081-2-4-49.xlsx
153,2.9234,2.9228,240081-2-4-49.xlsx
154,2.9226,2.9201,240081-2-4-49.xlsx
155,2.9117,2.9093,240081-2-4-49.xlsx
156,2.908,2.9057,240081-2-4-49.xlsx
157,2.9052,2.9038,240081-2-4-49.xlsx
158,2.9181,2.9199,240081-2-4-49.xlsx
159,2.9127,2.9094,240081-2-4-49.xlsx
160,2.9045,2.9025,240081-2-4-49.xlsx
161,2.8942,2.8912,240081-2-4-49.xlsx
162,2.8888,2.886,240081-2-4-49.xlsx
163,2.8855,2.8855,240081-2-4-49.xlsx
164,2.8933,2.892,240081-2-4-49.xlsx
165,2.8857,2.8835,240081-2-4-49.xlsx
166,2.88,2.8765,240081-2-4-49.xlsx
167,2.8679,2.8649,240081-2-4-49.xlsx
168,2.8625,2.8605,240081-2-4-49.xlsx
169,2.8598,2.8588,240081-2-4-49.xlsx
170,2.8667,2.8661,240081-2-4-49.xlsx
171,2.8589,2.8559,240081-2-4-49.xlsx
172,2.8522,2.8498,240081-2-4-49.xlsx
173,2.8485,2.8465,240081-2-4-49.xlsx
174,2.8454,2.8432,240081-2-4-49.xlsx
