循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.5694,3.4794,240081-2-6-52.xlsx
2,3.492,3.4739,240081-2-6-52.xlsx
3,3.4779,3.4602,240081-2-6-52.xlsx
4,3.4619,3.4474,240081-2-6-52.xlsx
5,3.4488,3.4375,240081-2-6-52.xlsx
6,3.4382,3.4277,240081-2-6-52.xlsx
7,3.4301,3.4218,240081-2-6-52.xlsx
8,3.421,3.414,240081-2-6-52.xlsx
9,3.4168,3.4087,240081-2-6-52.xlsx
10,3.4084,3.401,240081-2-6-52.xlsx
11,3.401,3.394,240081-2-6-52.xlsx
12,3.3937,3.3872,240081-2-6-52.xlsx
13,3.3876,3.3823,240081-2-6-52.xlsx
14,3.3845,3.3807,240081-2-6-52.xlsx
15,3.3831,3.378,240081-2-6-52.xlsx
16,3.3764,3.3704,240081-2-6-52.xlsx
17,3.3696,3.3643,240081-2-6-52.xlsx
18,3.3632,3.3581,240081-2-6-52.xlsx
19,3.3571,3.3528,240081-2-6-52.xlsx
20,3.354,3.3502,240081-2-6-52.xlsx
21,3.3507,3.3472,240081-2-6-52.xlsx
22,3.3464,3.3418,240081-2-6-52.xlsx
23,3.3374,3.3328,240081-2-6-52.xlsx
24,3.3341,3.3295,240081-2-6-52.xlsx
25,3.3281,3.3242,240081-2-6-52.xlsx
26,3.3231,3.3198,240081-2-6-52.xlsx
27,3.3192,3.316,240081-2-6-52.xlsx
28,3.3151,3.3118,240081-2-6-52.xlsx
29,3.3018,3.295,240081-2-6-52.xlsx
30,3.2937,3.2903,240081-2-6-52.xlsx
31,3.2892,3.2857,240081-2-6-52.xlsx
32,3.2856,3.282,240081-2-6-52.xlsx
33,3.282,3.2786,240081-2-6-52.xlsx
34,3.2783,3.2747,240081-2-6-52.xlsx
35,3.2739,3.2719,240081-2-6-52.xlsx
36,3.2794,3.2779,240081-2-6-52.xlsx
37,3.2778,3.2749,240081-2-6-52.xlsx
38,3.2746,3.272,240081-2-6-52.xlsx
39,3.2743,3.2728,240081-2-6-52.xlsx
40,3.2749,3.2726,240081-2-6-52.xlsx
41,3.2704,3.2669,240081-2-6-52.xlsx
42,3.265,3.2617,240081-2-6-52.xlsx
43,3.2603,3.2572,240081-2-6-52.xlsx
44,3.2562,3.253,240081-2-6-52.xlsx
45,3.2433,3.2366,240081-2-6-52.xlsx
46,3.2351,3.2323,240081-2-6-52.xlsx
47,3.2426,3.2437,240081-2-6-52.xlsx
48,3.2437,3.241,240081-2-6-52.xlsx
49,3.2398,3.237,240081-2-6-52.xlsx
50,3.236,3.2333,240081-2-6-52.xlsx
51,3.233,3.2317,240081-2-6-52.xlsx
52,3.2199,3.2137,240081-2-6-52.xlsx
53,3.2152,3.2127,240081-2-6-52.xlsx
54,3.2126,3.2099,240081-2-6-52.xlsx
55,3.2089,3.2062,240081-2-6-52.xlsx
56,3.2057,3.2028,240081-2-6-52.xlsx
57,3.2118,3.2139,240081-2-6-52.xlsx
58,3.2183,3.2144,240081-2-6-52.xlsx
59,3.2051,3.202,240081-2-6-52.xlsx
60,3.1977,3.1944,240081-2-6-52.xlsx
61,3.1908,3.1876,240081-2-6-52.xlsx
62,3.1871,3.1856,240081-2-6-52.xlsx
63,3.1881,3.1866,240081-2-6-52.xlsx
