循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6615,3.4652,240081-1-4-48.xlsx
2,3.4736,3.4479,240081-1-4-48.xlsx
3,3.452,3.4317,240081-1-4-48.xlsx
4,3.4342,3.4213,240081-1-4-48.xlsx
5,3.4265,3.4011,240081-1-4-48.xlsx
6,3.3916,3.3844,240081-1-4-48.xlsx
7,3.3853,3.3775,240081-1-4-48.xlsx
8,3.3782,3.3709,240081-1-4-48.xlsx
9,3.3715,3.365,240081-1-4-48.xlsx
10,3.3653,3.3588,240081-1-4-48.xlsx
11,3.3599,3.3542,240081-1-4-48.xlsx
12,3.353,3.3475,240081-1-4-48.xlsx
13,3.3474,3.3425,240081-1-4-48.xlsx
14,3.3427,3.3373,240081-1-4-48.xlsx
15,3.3372,3.3325,240081-1-4-48.xlsx
16,3.3322,3.3277,240081-1-4-48.xlsx
17,3.3272,3.3226,240081-1-4-48.xlsx
18,3.3214,3.3172,240081-1-4-48.xlsx
19,3.3168,3.3129,240081-1-4-48.xlsx
20,3.3126,3.3089,240081-1-4-48.xlsx
21,3.3087,3.3052,240081-1-4-48.xlsx
22,3.3046,3.301,240081-1-4-48.xlsx
23,3.3003,3.2968,240081-1-4-48.xlsx
24,3.2958,3.2926,240081-1-4-48.xlsx
25,3.2921,3.2889,240081-1-4-48.xlsx
26,3.2888,3.2857,240081-1-4-48.xlsx
27,3.285,3.2821,240081-1-4-48.xlsx
28,3.2814,3.2784,240081-1-4-48.xlsx
29,3.2779,3.2749,240081-1-4-48.xlsx
30,3.2743,3.2714,240081-1-4-48.xlsx
31,3.2709,3.2681,240081-1-4-48.xlsx
32,3.2692,3.2662,240081-1-4-48.xlsx
33,3.2658,3.263,240081-1-4-48.xlsx
34,3.2625,3.2598,240081-1-4-48.xlsx
35,3.2594,3.2565,240081-1-4-48.xlsx
36,3.2558,3.2531,240081-1-4-48.xlsx
37,3.2528,3.2503,240081-1-4-48.xlsx
38,3.2497,3.2471,240081-1-4-48.xlsx
39,3.2449,3.2427,240081-1-4-48.xlsx
40,3.2418,3.2394,240081-1-4-48.xlsx
41,3.2385,3.2365,240081-1-4-48.xlsx
42,3.2354,3.2333,240081-1-4-48.xlsx
