循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6557,3.4555,240081-1-7-48.xlsx
2,3.4635,3.4415,240081-1-7-48.xlsx
3,3.4462,3.4244,240081-1-7-48.xlsx
4,3.4292,3.4148,240081-1-7-48.xlsx
5,3.4096,3.3808,240081-1-7-48.xlsx
6,3.3824,3.3735,240081-1-7-48.xlsx
7,3.3747,3.3661,240081-1-7-48.xlsx
8,3.3671,3.3596,240081-1-7-48.xlsx
9,3.3604,3.3536,240081-1-7-48.xlsx
10,3.3544,3.3477,240081-1-7-48.xlsx
11,3.348,3.3418,240081-1-7-48.xlsx
12,3.3424,3.3368,240081-1-7-48.xlsx
13,3.3373,3.3318,240081-1-7-48.xlsx
14,3.3323,3.3277,240081-1-7-48.xlsx
15,3.3281,3.3225,240081-1-7-48.xlsx
16,3.3228,3.3182,240081-1-7-48.xlsx
17,3.3183,3.3134,240081-1-7-48.xlsx
18,3.3135,3.3096,240081-1-7-48.xlsx
19,3.3098,3.3055,240081-1-7-48.xlsx
20,3.3056,3.3018,240081-1-7-48.xlsx
21,3.3019,3.2979,240081-1-7-48.xlsx
22,3.2981,3.294,240081-1-7-48.xlsx
23,3.2938,3.2903,240081-1-7-48.xlsx
24,3.2904,3.2868,240081-1-7-48.xlsx
25,3.2866,3.2834,240081-1-7-48.xlsx
26,3.2834,3.2802,240081-1-7-48.xlsx
27,3.2801,3.2766,240081-1-7-48.xlsx
28,3.2761,3.2732,240081-1-7-48.xlsx
29,3.273,3.2696,240081-1-7-48.xlsx
30,3.2695,3.2664,240081-1-7-48.xlsx
31,3.2663,3.263,240081-1-7-48.xlsx
32,3.2629,3.26,240081-1-7-48.xlsx
33,3.2596,3.2563,240081-1-7-48.xlsx
34,3.2563,3.2536,240081-1-7-48.xlsx
35,3.2536,3.2503,240081-1-7-48.xlsx
36,3.25,3.2474,240081-1-7-48.xlsx
37,3.2471,3.244,240081-1-7-48.xlsx
38,3.2435,3.241,240081-1-7-48.xlsx
39,3.2408,3.2382,240081-1-7-48.xlsx
40,3.2376,3.2353,240081-1-7-48.xlsx
41,3.2349,3.232,240081-1-7-48.xlsx
42,3.2313,3.2292,240081-1-7-48.xlsx
43,3.2288,3.2264,240081-1-7-48.xlsx
44,3.226,3.2236,240081-1-7-48.xlsx
45,3.223,3.2207,240081-1-7-48.xlsx
46,3.2199,3.2175,240081-1-7-48.xlsx
47,3.2174,3.2149,240081-1-7-48.xlsx
48,3.214,3.212,240081-1-7-48.xlsx
49,3.2117,3.2091,240081-1-7-48.xlsx
50,3.2086,3.2066,240081-1-7-48.xlsx
51,3.2059,3.2035,240081-1-7-48.xlsx
52,3.2029,3.201,240081-1-7-48.xlsx
53,3.2,3.1976,240081-1-7-48.xlsx
54,3.1972,3.1951,240081-1-7-48.xlsx
55,3.1944,3.192,240081-1-7-48.xlsx
56,3.1914,3.1894,240081-1-7-48.xlsx
57,3.1886,3.1863,240081-1-7-48.xlsx
58,3.1856,3.1836,240081-1-7-48.xlsx
59,3.183,3.181,240081-1-7-48.xlsx
60,3.1801,3.1782,240081-1-7-48.xlsx
61,3.1774,3.175,240081-1-7-48.xlsx
62,3.1742,3.1721,240081-1-7-48.xlsx
63,3.1713,3.1691,240081-1-7-48.xlsx
64,3.1683,3.1663,240081-1-7-48.xlsx
65,3.1659,3.1638,240081-1-7-48.xlsx
66,3.1625,3.1605,240081-1-7-48.xlsx
67,3.1597,3.1577,240081-1-7-48.xlsx
68,3.1566,3.1546,240081-1-7-48.xlsx
69,3.1539,3.1519,240081-1-7-48.xlsx
70,3.1513,3.1493,240081-1-7-48.xlsx
71,3.1482,3.1464,240081-1-7-48.xlsx
72,3.1449,3.1429,240081-1-7-48.xlsx
73,3.1422,3.1402,240081-1-7-48.xlsx
74,3.1395,3.1374,240081-1-7-48.xlsx
75,3.1369,3.135,240081-1-7-48.xlsx
76,3.1343,3.1324,240081-1-7-48.xlsx
77,3.1314,3.1294,240081-1-7-48.xlsx
