循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6555,3.4544,240081-1-6-48.xlsx
2,3.4625,3.4317,240081-1-6-48.xlsx
3,3.4366,3.4163,240081-1-6-48.xlsx
4,3.4205,3.4073,240081-1-6-48.xlsx
5,3.4027,3.3748,240081-1-6-48.xlsx
6,3.3761,3.3661,240081-1-6-48.xlsx
7,3.3676,3.3588,240081-1-6-48.xlsx
8,3.36,3.3523,240081-1-6-48.xlsx
9,3.3534,3.3456,240081-1-6-48.xlsx
10,3.3466,3.3404,240081-1-6-48.xlsx
11,3.3414,3.3348,240081-1-6-48.xlsx
12,3.3354,3.3298,240081-1-6-48.xlsx
13,3.3305,3.3253,240081-1-6-48.xlsx
14,3.3256,3.3198,240081-1-6-48.xlsx
15,3.3204,3.3149,240081-1-6-48.xlsx
16,3.3153,3.3106,240081-1-6-48.xlsx
17,3.3109,3.3055,240081-1-6-48.xlsx
18,3.3057,3.3014,240081-1-6-48.xlsx
19,3.3014,3.2968,240081-1-6-48.xlsx
20,3.2973,3.293,240081-1-6-48.xlsx
21,3.2931,3.2887,240081-1-6-48.xlsx
22,3.289,3.2845,240081-1-6-48.xlsx
23,3.2847,3.2808,240081-1-6-48.xlsx
24,3.2807,3.2767,240081-1-6-48.xlsx
25,3.2768,3.2728,240081-1-6-48.xlsx
26,3.2729,3.269,240081-1-6-48.xlsx
27,3.2689,3.2655,240081-1-6-48.xlsx
28,3.2655,3.2618,240081-1-6-48.xlsx
29,3.2618,3.2584,240081-1-6-48.xlsx
30,3.2584,3.255,240081-1-6-48.xlsx
31,3.2551,3.2519,240081-1-6-48.xlsx
32,3.252,3.2482,240081-1-6-48.xlsx
33,3.2482,3.2447,240081-1-6-48.xlsx
34,3.245,3.2418,240081-1-6-48.xlsx
35,3.2419,3.2386,240081-1-6-48.xlsx
36,3.2386,3.2353,240081-1-6-48.xlsx
37,3.2353,3.2321,240081-1-6-48.xlsx
38,3.232,3.2285,240081-1-6-48.xlsx
39,3.2283,3.2255,240081-1-6-48.xlsx
40,3.2251,3.2221,240081-1-6-48.xlsx
41,3.2222,3.2193,240081-1-6-48.xlsx
42,3.2189,3.216,240081-1-6-48.xlsx
43,3.2157,3.213,240081-1-6-48.xlsx
44,3.2125,3.2097,240081-1-6-48.xlsx
45,3.2093,3.2065,240081-1-6-48.xlsx
46,3.2063,3.2036,240081-1-6-48.xlsx
47,3.2032,3.2003,240081-1-6-48.xlsx
48,3.1999,3.1971,240081-1-6-48.xlsx
49,3.1969,3.1941,240081-1-6-48.xlsx
50,3.1936,3.191,240081-1-6-48.xlsx
51,3.1905,3.1878,240081-1-6-48.xlsx
52,3.1875,3.1848,240081-1-6-48.xlsx
53,3.1844,3.1818,240081-1-6-48.xlsx
54,3.1813,3.1786,240081-1-6-48.xlsx
55,3.1781,3.1754,240081-1-6-48.xlsx
56,3.175,3.1723,240081-1-6-48.xlsx
57,3.1719,3.1694,240081-1-6-48.xlsx
58,3.1691,3.1665,240081-1-6-48.xlsx
59,3.1661,3.1636,240081-1-6-48.xlsx
60,3.1628,3.1604,240081-1-6-48.xlsx
61,3.1603,3.1578,240081-1-6-48.xlsx
62,3.157,3.1544,240081-1-6-48.xlsx
63,3.1541,3.1514,240081-1-6-48.xlsx
64,3.1511,3.1484,240081-1-6-48.xlsx
65,3.1478,3.1454,240081-1-6-48.xlsx
66,3.1448,3.1423,240081-1-6-48.xlsx
67,3.1419,3.1394,240081-1-6-48.xlsx
68,3.1388,3.1364,240081-1-6-48.xlsx
69,3.1359,3.1334,240081-1-6-48.xlsx
70,3.1329,3.1305,240081-1-6-48.xlsx
71,3.1301,3.1279,240081-1-6-48.xlsx
72,3.127,3.1247,240081-1-6-48.xlsx
73,3.124,3.1218,240081-1-6-48.xlsx
74,3.1211,3.1189,240081-1-6-48.xlsx
75,3.1189,3.1166,240081-1-6-48.xlsx
76,3.1159,3.1136,240081-1-6-48.xlsx
77,3.1133,3.111,240081-1-6-48.xlsx
78,3.1107,3.1083,240081-1-6-48.xlsx
79,3.1076,3.1053,240081-1-6-48.xlsx
80,3.1049,3.1025,240081-1-6-48.xlsx
81,3.1024,3.1002,240081-1-6-48.xlsx
82,3.0997,3.0975,240081-1-6-48.xlsx
83,3.0971,3.0948,240081-1-6-48.xlsx
84,3.0942,3.092,240081-1-6-48.xlsx
85,3.0913,3.0891,240081-1-6-48.xlsx
86,3.0887,3.0862,240081-1-6-48.xlsx
87,3.0857,3.0834,240081-1-6-48.xlsx
88,3.0829,3.0804,240081-1-6-48.xlsx
89,3.0796,3.0772,240081-1-6-48.xlsx
90,3.077,3.0747,240081-1-6-48.xlsx
91,3.0741,3.0715,240081-1-6-48.xlsx
92,3.071,3.0686,240081-1-6-48.xlsx
93,3.0679,3.0654,240081-1-6-48.xlsx
94,3.0645,3.0621,240081-1-6-48.xlsx
95,3.0614,3.0591,240081-1-6-48.xlsx
96,3.0583,3.056,240081-1-6-48.xlsx
97,3.0555,3.0532,240081-1-6-48.xlsx
98,3.0527,3.0503,240081-1-6-48.xlsx
99,3.0495,3.0472,240081-1-6-48.xlsx
100,3.0464,3.0441,240081-1-6-48.xlsx
101,3.0434,3.0413,240081-1-6-48.xlsx
102,3.0406,3.0385,240081-1-6-48.xlsx
103,3.0377,3.0356,240081-1-6-48.xlsx
104,3.0351,3.033,240081-1-6-48.xlsx
105,3.0323,3.0301,240081-1-6-48.xlsx
106,3.0297,3.0276,240081-1-6-48.xlsx
107,3.0266,3.0244,240081-1-6-48.xlsx
108,3.0236,3.0216,240081-1-6-48.xlsx
109,3.0211,3.0192,240081-1-6-48.xlsx
110,3.0187,3.0166,240081-1-6-48.xlsx
111,3.0158,3.0138,240081-1-6-48.xlsx
112,3.0131,3.011,240081-1-6-48.xlsx
113,3.0102,3.008,240081-1-6-48.xlsx
114,3.0076,3.0054,240081-1-6-48.xlsx
115,3.0045,3.0025,240081-1-6-48.xlsx
116,3.0019,2.9999,240081-1-6-48.xlsx
117,2.9995,2.9975,240081-1-6-48.xlsx
118,2.9968,2.9948,240081-1-6-48.xlsx
119,2.9939,2.992,240081-1-6-48.xlsx
120,2.9913,2.9895,240081-1-6-48.xlsx
121,2.9887,2.9867,240081-1-6-48.xlsx
122,2.9857,2.9838,240081-1-6-48.xlsx
123,2.9834,2.9816,240081-1-6-48.xlsx
124,2.9808,2.9789,240081-1-6-48.xlsx
125,2.9784,2.9766,240081-1-6-48.xlsx
126,2.976,2.9741,240081-1-6-48.xlsx
127,2.9732,2.9714,240081-1-6-48.xlsx
128,2.9705,2.9687,240081-1-6-48.xlsx
129,2.9678,2.966,240081-1-6-48.xlsx
130,2.9657,2.9639,240081-1-6-48.xlsx
131,2.9632,2.9613,240081-1-6-48.xlsx
132,2.9604,2.9584,240081-1-6-48.xlsx
133,2.9578,2.9559,240081-1-6-48.xlsx
134,2.9554,2.9536,240081-1-6-48.xlsx
135,2.9526,2.9508,240081-1-6-48.xlsx
136,2.9503,2.9486,240081-1-6-48.xlsx
137,2.9475,2.9457,240081-1-6-48.xlsx
138,2.9448,2.9431,240081-1-6-48.xlsx
139,2.9424,2.9406,240081-1-6-48.xlsx
140,2.94,2.9381,240081-1-6-48.xlsx
141,2.9374,2.9357,240081-1-6-48.xlsx
142,2.935,2.9363,240081-1-6-48.xlsx
143,2.9463,2.9485,240081-1-6-48.xlsx
144,2.9472,2.9457,240081-1-6-48.xlsx
145,2.9465,2.9448,240081-1-6-48.xlsx
146,2.9435,2.9414,240081-1-6-48.xlsx
147,2.9414,2.9399,240081-1-6-48.xlsx
148,2.9389,2.9374,240081-1-6-48.xlsx
149,2.9395,2.9379,240081-1-6-48.xlsx
150,2.9348,2.933,240081-1-6-48.xlsx
151,2.9337,2.9322,240081-1-6-48.xlsx
152,2.9315,2.9299,240081-1-6-48.xlsx
153,2.9323,2.932,240081-1-6-48.xlsx
154,2.9388,2.9385,240081-1-6-48.xlsx
155,2.9095,2.8993,240081-1-6-48.xlsx
156,2.8992,2.8965,240081-1-6-48.xlsx
157,2.8963,2.8944,240081-1-6-48.xlsx
158,2.894,2.8923,240081-1-6-48.xlsx
159,2.8912,2.8895,240081-1-6-48.xlsx
160,2.8889,2.8873,240081-1-6-48.xlsx
161,2.8869,2.8853,240081-1-6-48.xlsx
162,2.8839,2.8824,240081-1-6-48.xlsx
163,2.8816,2.8799,240081-1-6-48.xlsx
