循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6581,3.4611,240081-2-1-48.xlsx
2,3.47,3.4476,240081-2-1-48.xlsx
3,3.4525,3.4332,240081-2-1-48.xlsx
4,3.438,3.4168,240081-2-1-48.xlsx
5,3.4168,3.4087,240081-2-1-48.xlsx
6,3.4137,3.4043,240081-2-1-48.xlsx
7,3.405,3.3944,240081-2-1-48.xlsx
8,3.3949,3.3861,240081-2-1-48.xlsx
9,3.3862,3.3775,240081-2-1-48.xlsx
10,3.3776,3.3704,240081-2-1-48.xlsx
11,3.3727,3.3637,240081-2-1-48.xlsx
12,3.3632,3.3602,240081-2-1-48.xlsx
13,3.3619,3.3549,240081-2-1-48.xlsx
14,3.3543,3.3473,240081-2-1-48.xlsx
15,3.3469,3.3408,240081-2-1-48.xlsx
16,3.3403,3.3348,240081-2-1-48.xlsx
17,3.3353,3.3306,240081-2-1-48.xlsx
18,3.3326,3.3293,240081-2-1-48.xlsx
19,3.3326,3.3285,240081-2-1-48.xlsx
20,3.3272,3.3212,240081-2-1-48.xlsx
21,3.3198,3.3147,240081-2-1-48.xlsx
22,3.3138,3.3094,240081-2-1-48.xlsx
23,3.3083,3.3042,240081-2-1-48.xlsx
24,3.3051,3.3022,240081-2-1-48.xlsx
25,3.3026,3.2991,240081-2-1-48.xlsx
26,3.2998,3.2963,240081-2-1-48.xlsx
27,3.2944,3.2904,240081-2-1-48.xlsx
28,3.2883,3.2848,240081-2-1-48.xlsx
29,3.2832,3.2801,240081-2-1-48.xlsx
30,3.2787,3.2756,240081-2-1-48.xlsx
31,3.2747,3.272,240081-2-1-48.xlsx
32,3.2717,3.2685,240081-2-1-48.xlsx
33,3.2674,3.2609,240081-2-1-48.xlsx
34,3.2482,3.2436,240081-2-1-48.xlsx
35,3.2425,3.2393,240081-2-1-48.xlsx
36,3.2388,3.2354,240081-2-1-48.xlsx
37,3.235,3.2312,240081-2-1-48.xlsx
38,3.2304,3.2268,240081-2-1-48.xlsx
39,3.2265,3.2231,240081-2-1-48.xlsx
40,3.2224,3.2227,240081-2-1-48.xlsx
41,3.232,3.23,240081-2-1-48.xlsx
42,3.2298,3.227,240081-2-1-48.xlsx
43,3.2266,3.2244,240081-2-1-48.xlsx
44,3.2284,3.2277,240081-2-1-48.xlsx
45,3.2299,3.2276,240081-2-1-48.xlsx
46,3.2251,3.2216,240081-2-1-48.xlsx
47,3.2192,3.2159,240081-2-1-48.xlsx
48,3.2146,3.2117,240081-2-1-48.xlsx
49,3.2103,3.2073,240081-2-1-48.xlsx
50,3.2013,3.1932,240081-2-1-48.xlsx
51,3.1833,3.1792,240081-2-1-48.xlsx
52,3.1931,3.1968,240081-2-1-48.xlsx
53,3.1988,3.1967,240081-2-1-48.xlsx
54,3.1952,3.1925,240081-2-1-48.xlsx
55,3.1912,3.1885,240081-2-1-48.xlsx
56,3.1886,3.1867,240081-2-1-48.xlsx
57,3.1921,3.1831,240081-2-1-48.xlsx
58,3.1645,3.1621,240081-2-1-48.xlsx
59,3.1632,3.1614,240081-2-1-48.xlsx
60,3.1609,3.1586,240081-2-1-48.xlsx
61,3.1585,3.1564,240081-2-1-48.xlsx
62,3.1545,3.1567,240081-2-1-48.xlsx
63,3.1751,3.1761,240081-2-1-48.xlsx
64,3.1686,3.1634,240081-2-1-48.xlsx
65,3.1566,3.152,240081-2-1-48.xlsx
66,3.1488,3.145,240081-2-1-48.xlsx
67,3.1409,3.1376,240081-2-1-48.xlsx
68,3.1407,3.1399,240081-2-1-48.xlsx
69,3.1437,3.1432,240081-2-1-48.xlsx
70,3.1444,3.1421,240081-2-1-48.xlsx
71,3.1366,3.133,240081-2-1-48.xlsx
72,3.1307,3.1276,240081-2-1-48.xlsx
73,3.1256,3.1228,240081-2-1-48.xlsx
74,3.1247,3.1243,240081-2-1-48.xlsx
75,3.1354,3.1378,240081-2-1-48.xlsx
76,3.1411,3.1398,240081-2-1-48.xlsx
77,3.11,3.0985,240081-2-1-48.xlsx
78,3.096,3.0902,240081-2-1-48.xlsx
79,3.0879,3.084,240081-2-1-48.xlsx
80,3.0864,3.0843,240081-2-1-48.xlsx
81,3.0847,3.0823,240081-2-1-48.xlsx
82,3.0805,3.0771,240081-2-1-48.xlsx
83,3.0767,3.0729,240081-2-1-48.xlsx
84,3.0697,3.0661,240081-2-1-48.xlsx
85,3.0653,3.0623,240081-2-1-48.xlsx
86,3.0656,3.0634,240081-2-1-48.xlsx
87,3.0623,3.0598,240081-2-1-48.xlsx
88,3.059,3.0559,240081-2-1-48.xlsx
89,3.0535,3.0492,240081-2-1-48.xlsx
90,3.0473,3.0436,240081-2-1-48.xlsx
91,3.0422,3.0397,240081-2-1-48.xlsx
92,3.0438,3.0433,240081-2-1-48.xlsx
93,3.0463,3.0437,240081-2-1-48.xlsx
94,3.0415,3.0377,240081-2-1-48.xlsx
95,3.0351,3.0314,240081-2-1-48.xlsx
96,3.0306,3.0272,240081-2-1-48.xlsx
97,3.0325,3.0331,240081-2-1-48.xlsx
98,3.0396,3.0386,240081-2-1-48.xlsx
99,3.0336,3.0281,240081-2-1-48.xlsx
100,3.0208,3.0169,240081-2-1-48.xlsx
101,3.014,3.01,240081-2-1-48.xlsx
102,3.0092,3.0064,240081-2-1-48.xlsx
103,3.0091,3.0069,240081-2-1-48.xlsx
104,3.0069,3.0037,240081-2-1-48.xlsx
105,3.0015,2.9976,240081-2-1-48.xlsx
106,2.9957,2.9921,240081-2-1-48.xlsx
107,2.9919,2.9883,240081-2-1-48.xlsx
108,2.9864,2.9834,240081-2-1-48.xlsx
109,2.9843,2.9808,240081-2-1-48.xlsx
110,2.9795,2.9761,240081-2-1-48.xlsx
111,2.9761,2.9727,240081-2-1-48.xlsx
112,2.9722,2.9693,240081-2-1-48.xlsx
113,2.9672,2.9636,240081-2-1-48.xlsx
114,2.9628,2.9603,240081-2-1-48.xlsx
115,2.9617,2.9585,240081-2-1-48.xlsx
116,2.9554,2.9515,240081-2-1-48.xlsx
117,2.952,2.9491,240081-2-1-48.xlsx
118,2.9482,2.9448,240081-2-1-48.xlsx
119,2.9444,2.9421,240081-2-1-48.xlsx
120,2.9444,2.9405,240081-2-1-48.xlsx
121,2.9369,2.9334,240081-2-1-48.xlsx
122,2.9325,2.9295,240081-2-1-48.xlsx
123,2.9294,2.9266,240081-2-1-48.xlsx
124,2.9272,2.9238,240081-2-1-48.xlsx
125,2.9225,2.9203,240081-2-1-48.xlsx
126,2.9212,2.918,240081-2-1-48.xlsx
127,2.9147,2.9115,240081-2-1-48.xlsx
128,2.9124,2.9087,240081-2-1-48.xlsx
129,2.9099,2.9082,240081-2-1-48.xlsx
130,2.905,2.9017,240081-2-1-48.xlsx
131,2.9062,2.9045,240081-2-1-48.xlsx
132,2.9037,2.9004,240081-2-1-48.xlsx
133,2.8971,2.8935,240081-2-1-48.xlsx
134,2.8927,2.889,240081-2-1-48.xlsx
135,2.8881,2.8867,240081-2-1-48.xlsx
136,2.8907,2.8881,240081-2-1-48.xlsx
137,2.8876,2.8849,240081-2-1-48.xlsx
138,2.8818,2.878,240081-2-1-48.xlsx
139,2.8737,2.872,240081-2-1-48.xlsx
140,2.8743,2.8702,240081-2-1-48.xlsx
141,2.8698,2.8673,240081-2-1-48.xlsx
142,2.8677,2.8664,240081-2-1-48.xlsx
143,2.868,2.8655,240081-2-1-48.xlsx
144,2.8622,2.8589,240081-2-1-48.xlsx
145,2.8561,2.854,240081-2-1-48.xlsx
146,2.8533,2.8505,240081-2-1-48.xlsx
147,2.8559,2.8547,240081-2-1-48.xlsx
148,2.8699,2.8714,240081-2-1-48.xlsx
149,2.8691,2.8675,240081-2-1-48.xlsx
150,2.8653,2.8634,240081-2-1-48.xlsx
151,2.8599,2.8577,240081-2-1-48.xlsx
152,2.8626,2.8612,240081-2-1-48.xlsx
153,2.8601,2.86,240081-2-1-48.xlsx
154,2.862,2.8596,240081-2-1-48.xlsx
155,2.8526,2.849,240081-2-1-48.xlsx
156,2.8475,2.846,240081-2-1-48.xlsx
157,2.8447,2.8434,240081-2-1-48.xlsx
158,2.8506,2.8529,240081-2-1-48.xlsx
159,2.8598,2.8585,240081-2-1-48.xlsx
160,2.8577,2.8554,240081-2-1-48.xlsx
161,2.8469,2.8446,240081-2-1-48.xlsx
162,2.843,2.8407,240081-2-1-48.xlsx
163,2.8397,2.8386,240081-2-1-48.xlsx
164,2.8525,2.8555,240081-2-1-48.xlsx
165,2.8499,2.8469,240081-2-1-48.xlsx
166,2.8422,2.8396,240081-2-1-48.xlsx
167,2.8294,2.8261,240081-2-1-48.xlsx
168,2.826,2.8235,240081-2-1-48.xlsx
169,2.8195,2.819,240081-2-1-48.xlsx
170,2.8309,2.831,240081-2-1-48.xlsx
171,2.8279,2.8246,240081-2-1-48.xlsx
172,2.8192,2.8168,240081-2-1-48.xlsx
173,2.8093,2.8055,240081-2-1-48.xlsx
174,2.7999,2.7977,240081-2-1-48.xlsx
175,2.799,2.7967,240081-2-1-48.xlsx
176,2.7982,2.799,240081-2-1-48.xlsx
177,2.8029,2.7996,240081-2-1-48.xlsx
178,2.7913,2.7892,240081-2-1-48.xlsx
179,2.7871,2.7848,240081-2-1-48.xlsx
180,2.7844,2.7825,240081-2-1-48.xlsx
181,2.7811,2.7802,240081-2-1-48.xlsx
182,2.7846,2.7834,240081-2-1-48.xlsx
183,2.7791,2.7755,240081-2-1-48.xlsx
184,2.7686,2.7656,240081-2-1-48.xlsx
185,2.7646,2.7621,240081-2-1-48.xlsx
186,2.7626,2.7614,240081-2-1-48.xlsx
187,2.7661,2.7664,240081-2-1-48.xlsx
188,2.7725,2.7718,240081-2-1-48.xlsx
189,2.7665,2.7636,240081-2-1-48.xlsx
190,2.7589,2.7561,240081-2-1-48.xlsx
191,2.7549,2.7532,240081-2-1-48.xlsx
192,2.7611,2.7606,240081-2-1-48.xlsx
193,2.7691,2.7702,240081-2-1-48.xlsx
194,2.7634,2.7613,240081-2-1-48.xlsx
195,2.755,2.7517,240081-2-1-48.xlsx
196,2.7472,2.7451,240081-2-1-48.xlsx
197,2.7433,2.7414,240081-2-1-48.xlsx
198,2.752,2.7566,240081-2-1-48.xlsx
199,2.7704,2.767,240081-2-1-48.xlsx
200,2.7438,2.7411,240081-2-1-48.xlsx
201,2.7448,2.7435,240081-2-1-48.xlsx
202,2.741,2.7388,240081-2-1-48.xlsx
203,2.7419,2.7421,240081-2-1-48.xlsx
204,2.7539,2.756,240081-2-1-48.xlsx
205,2.7653,2.7651,240081-2-1-48.xlsx
206,2.7464,2.7414,240081-2-1-48.xlsx
207,2.7357,2.7333,240081-2-1-48.xlsx
208,2.7304,2.7282,240081-2-1-48.xlsx
209,2.7311,2.7319,240081-2-1-48.xlsx
210,2.741,2.7414,240081-2-1-48.xlsx
211,2.7435,2.7409,240081-2-1-48.xlsx
212,2.7258,2.7221,240081-2-1-48.xlsx
213,2.7145,2.7109,240081-2-1-48.xlsx
214,2.7109,2.71,240081-2-1-48.xlsx
215,2.7201,2.7214,240081-2-1-48.xlsx
216,2.735,2.7376,240081-2-1-48.xlsx
217,2.718,2.7116,240081-2-1-48.xlsx
218,2.7029,2.6998,240081-2-1-48.xlsx
219,2.6984,2.6956,240081-2-1-48.xlsx
220,2.7006,2.7013,240081-2-1-48.xlsx
221,2.7129,2.7156,240081-2-1-48.xlsx
222,2.7235,2.724,240081-2-1-48.xlsx
223,2.7039,2.6954,240081-2-1-48.xlsx
224,2.6885,2.6873,240081-2-1-48.xlsx
225,2.6869,2.6858,240081-2-1-48.xlsx
226,2.6954,2.6971,240081-2-1-48.xlsx
227,2.7054,2.7058,240081-2-1-48.xlsx
228,2.7014,2.6999,240081-2-1-48.xlsx
229,2.685,2.6789,240081-2-1-48.xlsx
230,2.6764,2.6752,240081-2-1-48.xlsx
231,2.6746,2.6744,240081-2-1-48.xlsx
232,2.6921,2.6928,240081-2-1-48.xlsx
233,2.7045,2.7065,240081-2-1-48.xlsx
234,2.6912,2.6867,240081-2-1-48.xlsx
235,2.6691,2.666,240081-2-1-48.xlsx
236,2.6688,2.6668,240081-2-1-48.xlsx
237,2.6691,2.6686,240081-2-1-48.xlsx
238,2.6784,2.6805,240081-2-1-48.xlsx
239,2.6784,2.6755,240081-2-1-48.xlsx
240,2.6619,2.6582,240081-2-1-48.xlsx
241,2.6554,2.6532,240081-2-1-48.xlsx
242,2.6505,2.6488,240081-2-1-48.xlsx
243,2.655,2.6562,240081-2-1-48.xlsx
244,2.6595,2.6578,240081-2-1-48.xlsx
245,2.6498,2.6465,240081-2-1-48.xlsx
246,2.6394,2.6359,240081-2-1-48.xlsx
247,2.6358,2.6341,240081-2-1-48.xlsx
248,2.6319,2.6296,240081-2-1-48.xlsx
249,2.6296,2.6285,240081-2-1-48.xlsx
250,2.6288,2.6268,240081-2-1-48.xlsx
251,2.6227,2.6203,240081-2-1-48.xlsx
252,2.6175,2.6155,240081-2-1-48.xlsx
253,2.6133,2.6109,240081-2-1-48.xlsx
254,2.6114,2.6107,240081-2-1-48.xlsx
255,2.6123,2.6113,240081-2-1-48.xlsx
256,2.6074,2.6044,240081-2-1-48.xlsx
257,2.5989,2.5969,240081-2-1-48.xlsx
