循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6726,3.477,240081-2-3-49.xlsx
2,3.4809,3.4591,240081-2-3-49.xlsx
3,3.4614,3.4455,240081-2-3-49.xlsx
4,3.4466,3.4328,240081-2-3-49.xlsx
5,3.4341,3.4241,240081-2-3-49.xlsx
6,3.424,3.4112,240081-2-3-49.xlsx
7,3.4147,3.4108,240081-2-3-49.xlsx
8,3.4111,3.4026,240081-2-3-49.xlsx
9,3.4023,3.3948,240081-2-3-49.xlsx
10,3.3941,3.3869,240081-2-3-49.xlsx
11,3.3867,3.3805,240081-2-3-49.xlsx
12,3.3811,3.3765,240081-2-3-49.xlsx
13,3.3793,3.3762,240081-2-3-49.xlsx
14,3.3767,3.3703,240081-2-3-49.xlsx
15,3.3682,3.3622,240081-2-3-49.xlsx
16,3.3612,3.356,240081-2-3-49.xlsx
17,3.355,3.3502,240081-2-3-49.xlsx
18,3.3495,3.3459,240081-2-3-49.xlsx
19,3.3469,3.3434,240081-2-3-49.xlsx
20,3.3439,3.3406,240081-2-3-49.xlsx
21,3.3392,3.3347,240081-2-3-49.xlsx
22,3.3321,3.3282,240081-2-3-49.xlsx
23,3.3271,3.3233,240081-2-3-49.xlsx
24,3.3219,3.3183,240081-2-3-49.xlsx
25,3.3171,3.3143,240081-2-3-49.xlsx
26,3.3136,3.3076,240081-2-3-49.xlsx
27,3.3064,3.304,240081-2-3-49.xlsx
28,3.2931,3.2881,240081-2-3-49.xlsx
29,3.2868,3.284,240081-2-3-49.xlsx
30,3.2827,3.2798,240081-2-3-49.xlsx
31,3.2794,3.2759,240081-2-3-49.xlsx
32,3.2748,3.2719,240081-2-3-49.xlsx
33,3.2714,3.2683,240081-2-3-49.xlsx
34,3.2676,3.2675,240081-2-3-49.xlsx
35,3.2749,3.2728,240081-2-3-49.xlsx
36,3.272,3.2693,240081-2-3-49.xlsx
37,3.2684,3.2663,240081-2-3-49.xlsx
38,3.2689,3.2681,240081-2-3-49.xlsx
39,3.2693,3.267,240081-2-3-49.xlsx
40,3.2645,3.2614,240081-2-3-49.xlsx
41,3.259,3.2562,240081-2-3-49.xlsx
42,3.2546,3.2518,240081-2-3-49.xlsx
43,3.2504,3.2476,240081-2-3-49.xlsx
44,3.2395,3.2327,240081-2-3-49.xlsx
45,3.2277,3.2241,240081-2-3-49.xlsx
46,3.235,3.2372,240081-2-3-49.xlsx
47,3.2372,3.2349,240081-2-3-49.xlsx
48,3.2334,3.2308,240081-2-3-49.xlsx
49,3.229,3.2264,240081-2-3-49.xlsx
50,3.2261,3.2247,240081-2-3-49.xlsx
51,3.2165,3.2088,240081-2-3-49.xlsx
52,3.2054,3.204,240081-2-3-49.xlsx
53,3.2051,3.2024,240081-2-3-49.xlsx
54,3.2035,3.2009,240081-2-3-49.xlsx
55,3.1998,3.1964,240081-2-3-49.xlsx
56,3.1989,3.2012,240081-2-3-49.xlsx
57,3.2089,3.2059,240081-2-3-49.xlsx
58,3.1973,3.1928,240081-2-3-49.xlsx
59,3.1866,3.1822,240081-2-3-49.xlsx
60,3.1789,3.175,240081-2-3-49.xlsx
61,3.1725,3.1701,240081-2-3-49.xlsx
62,3.1736,3.1733,240081-2-3-49.xlsx
63,3.1759,3.1751,240081-2-3-49.xlsx
64,3.1726,3.1687,240081-2-3-49.xlsx
65,3.1643,3.1609,240081-2-3-49.xlsx
66,3.1587,3.1557,240081-2-3-49.xlsx
67,3.1544,3.1521,240081-2-3-49.xlsx
68,3.1566,3.1567,240081-2-3-49.xlsx
69,3.1649,3.1661,240081-2-3-49.xlsx
70,3.1652,3.1537,240081-2-3-49.xlsx
71,3.1286,3.1233,240081-2-3-49.xlsx
72,3.1241,3.1197,240081-2-3-49.xlsx
73,3.1154,3.113,240081-2-3-49.xlsx
74,3.1146,3.1119,240081-2-3-49.xlsx
75,3.1119,3.108,240081-2-3-49.xlsx
76,3.1062,3.1024,240081-2-3-49.xlsx
77,3.0993,3.0948,240081-2-3-49.xlsx
78,3.0927,3.089,240081-2-3-49.xlsx
79,3.0918,3.0888,240081-2-3-49.xlsx
80,3.0877,3.0842,240081-2-3-49.xlsx
81,3.0836,3.0795,240081-2-3-49.xlsx
82,3.0772,3.0719,240081-2-3-49.xlsx
83,3.0702,3.0656,240081-2-3-49.xlsx
84,3.0638,3.0603,240081-2-3-49.xlsx
85,3.0638,3.0633,240081-2-3-49.xlsx
86,3.0686,3.0652,240081-2-3-49.xlsx
87,3.0626,3.0578,240081-2-3-49.xlsx
88,3.0563,3.0509,240081-2-3-49.xlsx
89,3.0493,3.0453,240081-2-3-49.xlsx
90,3.05,3.0491,240081-2-3-49.xlsx
91,3.0517,3.0487,240081-2-3-49.xlsx
92,3.0433,3.0377,240081-2-3-49.xlsx
93,3.0352,3.0304,240081-2-3-49.xlsx
94,3.0278,3.0237,240081-2-3-49.xlsx
