循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.6624,3.4609,240081-1-1-48.xlsx
2,3.4693,3.4473,240081-1-1-48.xlsx
3,3.452,3.4335,240081-1-1-48.xlsx
4,3.4362,3.422,240081-1-1-48.xlsx
5,3.4282,3.4039,240081-1-1-48.xlsx
6,3.3955,3.384,240081-1-1-48.xlsx
7,3.3855,3.3766,240081-1-1-48.xlsx
8,3.3779,3.3695,240081-1-1-48.xlsx
9,3.3705,3.3634,240081-1-1-48.xlsx
10,3.3643,3.3577,240081-1-1-48.xlsx
11,3.3582,3.3517,240081-1-1-48.xlsx
12,3.3524,3.346,240081-1-1-48.xlsx
13,3.3463,3.3402,240081-1-1-48.xlsx
14,3.3406,3.3349,240081-1-1-48.xlsx
15,3.3353,3.3298,240081-1-1-48.xlsx
16,3.3301,3.3249,240081-1-1-48.xlsx
17,3.3252,3.3201,240081-1-1-48.xlsx
18,3.3203,3.3152,240081-1-1-48.xlsx
19,3.3153,3.3107,240081-1-1-48.xlsx
20,3.3109,3.3062,240081-1-1-48.xlsx
21,3.3063,3.302,240081-1-1-48.xlsx
22,3.3027,3.2983,240081-1-1-48.xlsx
23,3.2982,3.2939,240081-1-1-48.xlsx
24,3.294,3.2898,240081-1-1-48.xlsx
25,3.2896,3.2858,240081-1-1-48.xlsx
26,3.2857,3.282,240081-1-1-48.xlsx
27,3.282,3.2783,240081-1-1-48.xlsx
28,3.2784,3.2749,240081-1-1-48.xlsx
29,3.2747,3.2714,240081-1-1-48.xlsx
30,3.271,3.2676,240081-1-1-48.xlsx
31,3.2674,3.2642,240081-1-1-48.xlsx
32,3.264,3.2609,240081-1-1-48.xlsx
33,3.261,3.2576,240081-1-1-48.xlsx
34,3.2572,3.2541,240081-1-1-48.xlsx
35,3.2541,3.251,240081-1-1-48.xlsx
36,3.2507,3.2476,240081-1-1-48.xlsx
37,3.2475,3.2444,240081-1-1-48.xlsx
38,3.2443,3.2412,240081-1-1-48.xlsx
39,3.2409,3.2376,240081-1-1-48.xlsx
40,3.2374,3.2344,240081-1-1-48.xlsx
