capacity,charge_1A_I_length,charge_3v6_I_sum,charge_20soc_I_sum,discharge_20soc_I_sum,discharge_80soc_I_sum,discharge_20to80soc_I_sum,charge_1A_V_sum,charge_3v6_V_length,charge_20soc_V_sum,discharge_20soc_V_end,discharge_80soc_V_end,discharge_20to80soc_V_range,charge_1A_T_range,charge_3v6_T_range,charge_20soc_T_range,discharge_20soc_T_range,discharge_80soc_T_range,discharge_20to80soc_T_range
0.592083333,0.5,0.602369882,0.602369882,0.760793,0.8416605,0.680846667,0.5,0.745,0.766419857,0.748421053,0.7757,0.7596,0.5,0.5,0.5,0.5,0.5,0.5
0.592083333,0.5,0.602576706,0.602576706,0.760783,0.841663,0.680851333,0.5,0.745,0.766422143,0.748421053,0.7764,0.7603,0.5,0.5,0.5,0.5,0.5,0.5
0.591666667,0.5,0.601448118,0.601448118,0.760784,0.841571,0.680789667,0.5,0.74,0.761277429,0.752631579,0.7775,0.761,0.5,0.5,0.5,0.5,0.5,0.5
0.591666667,0.5,0.601597412,0.601597412,0.760833,0.8415125,0.680734333,0.5,0.74,0.761282571,0.752631579,0.7773,0.7608,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601868353,0.601868353,0.760846,0.841597,0.680786667,0.5,0.74,0.761275857,0.754736842,0.7779,0.7612,0.5,0.5,0.5,0.5,0.5,0.5
0.591666667,0.5,0.602002353,0.602002353,0.760879,0.841667,0.680822667,0.5,0.74,0.761278429,0.754736842,0.7788,0.7621,0.5,0.5,0.5,0.5,0.5,0.5
0.591666667,0.5,0.601319882,0.601319882,0.760945,0.8417555,0.68086,0.5,0.735,0.756135,0.755789474,0.7797,0.7629,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601837412,0.601837412,0.760992,0.841807,0.680878667,0.5,0.735,0.756132429,0.756842105,0.7793,0.7624,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601720706,0.601720706,0.760963,0.841835,0.680907,0.5,0.735,0.756135714,0.757894737,0.7803,0.7633,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601218941,0.601218941,0.760959,0.841869,0.680931,0.5,0.735,0.756129286,0.758947368,0.7807,0.7636,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.600900588,0.600900588,0.761009,0.8419215,0.680949667,0.5,0.735,0.756133857,0.762105263,0.7818,0.7644,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601404588,0.601404588,0.76091,0.8418195,0.680914333,0.5,0.735,0.756130571,0.762105263,0.7814,0.764,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.599870941,0.599870941,0.760912,0.841936,0.680991333,0.5,0.73,0.750989286,0.765263158,0.782,0.7643,0.5,0.5,0.5,0.5,0.5,0.5
0.590833333,0.5,0.600494471,0.600494471,0.760842,0.8418865,0.680981667,0.5,0.73,0.750990714,0.764210526,0.7827,0.7651,0.5,0.5,0.5,0.5,0.5,0.5
0.590833333,0.5,0.600830824,0.600830824,0.760891,0.841917,0.680985667,0.5,0.73,0.750990143,0.766315789,0.7827,0.7649,0.5,0.5,0.5,0.5,0.5,0.5
0.590416667,0.5,0.600049529,0.600049529,0.760876,0.8418975,0.680977667,0.5,0.73,0.750991143,0.768421053,0.7827,0.7647,0.5,0.5,0.5,0.5,0.5,0.5
0.590416667,0.5,0.599944824,0.599944824,0.760868,0.8419145,0.680992,0.5,0.73,0.750990714,0.769473684,0.7825,0.7644,0.5,0.5,0.5,0.5,0.5,0.5
0.590416667,0.5,0.599245294,0.599245294,0.760848,0.8419145,0.680998333,0.5,0.725,0.745846429,0.770526316,0.7831,0.7649,0.5,0.5,0.5,0.5,0.5,0.5
0.590416667,0.5,0.599520706,0.599520706,0.760847,0.841902,0.68099,0.5,0.725,0.745847143,0.772631579,0.7836,0.7652,0.5,0.5,0.5,0.5,0.5,0.5
0.59,0.5,0.599447765,0.599447765,0.760842,0.8419545,0.681026667,0.5,0.725,0.745849286,0.773684211,0.7841,0.7656,0.5,0.5,0.5,0.5,0.5,0.5
0.59,0.5,0.599475529,0.599475529,0.760856,0.841972,0.681033667,0.5,0.725,0.745847571,0.773684211,0.7843,0.7658,0.5,0.5,0.5,0.5,0.5,0.5
0.589583333,0.5,0.599615882,0.599615882,0.760856,0.841924,0.681001667,0.5,0.725,0.745845714,0.776842105,0.7849,0.7661,0.5,0.5,0.5,0.5,0.5,0.5
0.589166667,0.5,0.599504235,0.599504235,0.760919,0.8419315,0.680985667,0.5,0.725,0.745842143,0.777894737,0.7849,0.766,0.5,0.5,0.5,0.5,0.5,0.5
0.589166667,0.5,0.598614118,0.598614118,0.760822,0.8419245,0.681013333,0.5,0.72,0.740699571,0.78,0.786,0.7669,0.5,0.5,0.5,0.5,0.5,0.5
0.589166667,0.5,0.599509412,0.599509412,0.760807,0.8419,0.681001667,0.5,0.725,0.745844714,0.78,0.7858,0.7667,0.5,0.5,0.5,0.5,0.5,0.5
0.589166667,0.5,0.598903412,0.598903412,0.760744,0.8418025,0.680957333,0.5,0.72,0.740698571,0.781052632,0.7859,0.7667,0.5,0.5,0.5,0.5,0.5,0.5
0.58875,0.5,0.598624235,0.598624235,0.760725,0.8417505,0.680929333,0.5,0.72,0.740704286,0.781052632,0.7865,0.7673,0.5,0.5,0.5,0.5,0.5,0.5
0.588333333,0.5,0.598779765,0.598779765,0.760756,0.841752,0.68092,0.5,0.72,0.740704714,0.782105263,0.788,0.7687,0.5,0.5,0.5,0.5,0.5,0.5
0.588333333,0.5,0.598266353,0.598266353,0.760813,0.8418635,0.680975667,0.5,0.72,0.740708714,0.790526316,0.7888,0.7687,0.5,0.5,0.5,0.5,0.5,0.5
0.587916667,0.5,0.598100941,0.598100941,0.760872,0.841902,0.680981667,0.5,0.72,0.740708286,0.790526316,0.7891,0.769,0.5,0.5,0.5,0.5,0.5,0.5
0.587916667,0.5,0.597457529,0.597457529,0.760882,0.8419115,0.680984667,0.5,0.715,0.735571429,0.793684211,0.7898,0.7694,0.5,0.5,0.5,0.5,0.5,0.5
0.587916667,0.5,0.597371412,0.597371412,0.76093,0.842019,0.681040333,0.5,0.715,0.735573,0.793684211,0.7901,0.7697,0.5,0.5,0.5,0.5,0.5,0.5
0.5875,0.5,0.597012824,0.597012824,0.76089,0.841997,0.681039,0.5,0.715,0.735572,0.794736842,0.7909,0.7704,0.5,0.5,0.5,0.5,0.5,0.5
0.5875,0.5,0.597008471,0.597008471,0.760956,0.8419795,0.681005667,0.5,0.715,0.735558571,0.795789474,0.7921,0.7715,0.5,0.5,0.5,0.5,0.5,0.5
0.587083333,0.5,0.596783529,0.596783529,0.760944,0.8420345,0.681046667,0.5,0.715,0.735557143,0.796842105,0.7913,0.7706,0.5,0.5,0.5,0.5,0.5,0.5
0.586666667,0.5,0.596063529,0.596063529,0.760837,0.8418865,0.680982667,0.5,0.71,0.730414714,0.796842105,0.7923,0.7716,0.5,0.5,0.5,0.5,0.5,0.5
0.58625,0.5,0.596480588,0.596480588,0.760743,0.8417615,0.680930333,0.5,0.71,0.730414286,0.795789474,0.7919,0.7713,0.5,0.5,0.5,0.5,0.5,0.5
0.58625,0.5,0.596188,0.596188,0.760757,0.841788,0.680943667,0.5,0.71,0.730418857,0.795789474,0.7923,0.7717,0.5,0.5,0.5,0.5,0.5,0.5
0.585833333,0.5,0.596544235,0.596544235,0.760674,0.841665,0.680888667,0.5,0.71,0.730413286,0.795789474,0.7929,0.7723,0.5,0.5,0.5,0.5,0.5,0.5
0.585416667,0.5,0.596407059,0.596407059,0.76075,0.841717,0.680898333,0.5,0.71,0.730413714,0.795789474,0.793,0.7724,0.5,0.5,0.5,0.5,0.5,0.5
0.585,0.5,0.596047294,0.596047294,0.760852,0.841855,0.680956667,0.5,0.71,0.730417143,0.797894737,0.7941,0.7733,0.5,0.5,0.5,0.5,0.5,0.5
0.585,0.5,0.595814824,0.595814824,0.760822,0.8417635,0.680905667,0.5,0.71,0.730421429,0.801052632,0.7942,0.7731,0.5,0.5,0.5,0.5,0.5,0.5
0.584166667,0.5,0.596157882,0.596157882,0.760743,0.841675,0.680872667,0.5,0.71,0.730418857,0.798947368,0.7941,0.7732,0.5,0.5,0.5,0.5,0.5,0.5
0.584166667,0.5,0.595417412,0.595417412,0.760792,0.841832,0.680961333,0.5,0.71,0.730419,0.802105263,0.7944,0.7732,0.5,0.5,0.5,0.5,0.5,0.5
0.58375,0.5,0.595299765,0.595299765,0.760806,0.8418145,0.680945,0.5,0.71,0.730412429,0.801052632,0.7948,0.7737,0.5,0.5,0.5,0.5,0.5,0.5
0.58375,0.5,0.593946,0.593946,0.760843,0.8419005,0.680990333,0.5,0.705,0.725269857,0.803157895,0.7953,0.774,0.5,0.5,0.5,0.5,0.5,0.5
0.582916667,0.5,0.595094588,0.595094588,0.760767,0.841836,0.680972667,0.5,0.71,0.730411714,0.8,0.7949,0.7739,0.5,0.5,0.5,0.5,0.5,0.5
0.5825,0.5,0.594374941,0.594374941,0.760733,0.8416555,0.680862667,0.5,0.705,0.725269143,0.801052632,0.7951,0.774,0.5,0.5,0.5,0.5,0.5,0.5
0.5825,0.5,0.594383294,0.594383294,0.760699,0.841601,0.680838,0.5,0.705,0.725269286,0.801052632,0.7951,0.774,0.5,0.5,0.5,0.5,0.5,0.5
0.581666667,0.5,0.593862941,0.593862941,0.760765,0.8417245,0.680898667,0.5,0.705,0.725271571,0.801052632,0.7954,0.7743,0.5,0.5,0.5,0.5,0.5,0.5
0.581666667,0.5,0.593176,0.593176,0.760753,0.841644,0.680848667,0.5,0.705,0.725271,0.801052632,0.7951,0.774,0.5,0.5,0.5,0.5,0.5,0.5
0.58125,0.5,0.592692118,0.592692118,0.760755,0.8415905,0.680812333,0.5,0.705,0.725270857,0.803157895,0.7953,0.774,0.5,0.5,0.5,0.5,0.5,0.5
0.580833333,0.5,0.592604471,0.592604471,0.760786,0.8416655,0.680852667,0.5,0.705,0.72527,0.8,0.795,0.774,0.5,0.5,0.5,0.5,0.5,0.5
0.580416667,0.5,0.592957882,0.592957882,0.760822,0.8417455,0.680893667,0.5,0.705,0.725271429,0.8,0.7954,0.7744,0.5,0.5,0.5,0.5,0.5,0.5
0.580416667,0.5,0.592648588,0.592648588,0.760844,0.84181,0.680929667,0.5,0.705,0.725271143,0.804210526,0.7952,0.7738,0.5,0.5,0.5,0.5,0.5,0.5
0.58,0.5,0.591156353,0.591156353,0.760923,0.8419585,0.681002667,0.5,0.7,0.720124429,0.804210526,0.7966,0.7752,0.5,0.5,0.5,0.5,0.5,0.5
0.579583333,0.5,0.590599882,0.590599882,0.760882,0.841899,0.680976333,0.5,0.7,0.720124714,0.803157895,0.7967,0.7754,0.5,0.5,0.5,0.5,0.5,0.5
